windGust0,windGust1,windGust2,windGust3,windGust4,windGust5,windGust6,windGust7,windGust8,windGust9,windGust10,windGust11,windGust12,windGust13,windGust14,windGust15,windGust16,windGust17,windGust18,windGust19,windGust20,windGust21,windGust22,windGust23,windGust24,temperature0,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,temperature8,temperature9,temperature10,temperature11,temperature12,temperature13,temperature14,temperature15,temperature16,temperature17,temperature18,temperature19,temperature20,temperature21,temperature22,temperature23,temperature24,dewPoint0,dewPoint1,dewPoint2,dewPoint3,dewPoint4,dewPoint5,dewPoint6,dewPoint7,dewPoint8,dewPoint9,dewPoint10,dewPoint11,dewPoint12,dewPoint13,dewPoint14,dewPoint15,dewPoint16,dewPoint17,dewPoint18,dewPoint19,dewPoint20,dewPoint21,dewPoint22,dewPoint23,dewPoint24,humidity0,humidity1,humidity2,humidity3,humidity4,humidity5,humidity6,humidity7,humidity8,humidity9,humidity10,humidity11,humidity12,humidity13,humidity14,humidity15,humidity16,humidity17,humidity18,humidity19,humidity20,humidity21,humidity22,humidity23,humidity24,apparentTemperature0,apparentTemperature1,apparentTemperature2,apparentTemperature3,apparentTemperature4,apparentTemperature5,apparentTemperature6,apparentTemperature7,apparentTemperature8,apparentTemperature9,apparentTemperature10,apparentTemperature11,apparentTemperature12,apparentTemperature13,apparentTemperature14,apparentTemperature15,apparentTemperature16,apparentTemperature17,apparentTemperature18,apparentTemperature19,apparentTemperature20,apparentTemperature21,apparentTemperature22,apparentTemperature23,apparentTemperature24,pressure0,pressure1,pressure2,pressure3,pressure4,pressure5,pressure6,pressure7,pressure8,pressure9,pressure10,pressure11,pressure12,pressure13,pressure14,pressure15,pressure16,pressure17,pressure18,pressure19,pressure20,pressure21,pressure22,pressure23,pressure24,windSpeed0,windSpeed1,windSpeed2,windSpeed3,windSpeed4,windSpeed5,windSpeed6,windSpeed7,windSpeed8,windSpeed9,windSpeed10,windSpeed11,windSpeed12,windSpeed13,windSpeed14,windSpeed15,windSpeed16,windSpeed17,windSpeed18,windSpeed19,windSpeed20,windSpeed21,windSpeed22,windSpeed23,windSpeed24,visibility0,visibility1,visibility2,visibility3,visibility4,visibility5,visibility6,visibility7,visibility8,visibility9,visibility10,visibility11,visibility12,visibility13,visibility14,visibility15,visibility16,visibility17,visibility18,visibility19,visibility20,visibility21,visibility22,visibility23,visibility24,precipIntensity0,precipIntensity1,precipIntensity2,precipIntensity3,precipIntensity4,precipIntensity5,precipIntensity6,precipIntensity7,precipIntensity8,precipIntensity9,precipIntensity10,precipIntensity11,precipIntensity12,precipIntensity13,precipIntensity14,precipIntensity15,precipIntensity16,precipIntensity17,precipIntensity18,precipIntensity19,precipIntensity20,precipIntensity21,precipIntensity22,precipIntensity23,precipIntensity24,precipProbability0,precipProbability1,precipProbability2,precipProbability3,precipProbability4,precipProbability5,precipProbability6,precipProbability7,precipProbability8,precipProbability9,precipProbability10,precipProbability11,precipProbability12,precipProbability13,precipProbability14,precipProbability15,precipProbability16,precipProbability17,precipProbability18,precipProbability19,precipProbability20,precipProbability21,precipProbability22,precipProbability23,precipProbability24,day,month,outcome
12.62,12.82,13.47,13.46,11.36,9.59,10.68,10.35,9.57,7.46,7.99,5.24,4.29,4.16,4.33,5.74,9.81,9.44,6.33,7.02,9.19,11.8,11.27,11.74,9.17,33.01,33.68,33.95,34.39,34.92,35.55,36.29,36.71,36.26,35.94,36.21,36.2,36.06,36.31,35.94,35.33,35.22,35.27,34.32,35.29,36.31,37.09,37.75,37.53,37.16,21.78,21.6,21.34,22.88,24.43,23.39,23.41,24.88,27.1,28.25,28.29,28.76,28.91,28.67,28.4,29.93,28.87,26.21,23.48,23.42,24.39,25.57,25.56,25.71,26.1,0.63,0.61,0.6,0.62,0.65,0.61,0.59,0.62,0.69,0.73,0.73,0.74,0.75,0.74,0.74,0.8,0.77,0.69,0.64,0.62,0.62,0.63,0.61,0.62,0.64,27.99,28.91,28.68,29.62,31.22,32.55,32.63,33.22,32.42,33.21,33.86,36.2,36.06,36.31,35.94,35.33,31.75,31.93,34.32,32.82,33.03,33.22,33.83,33.58,33.55,1012.91,1011.97,1012.34,1012.35,1011.42,1011.57,1010.86,1010.13,1010.36,1009.65,1009.24,1009.36,1009.57,1009.5,1009.87,1011.22,1013.37,1014.95,1015.56,1017.71,1019.53,1020.39,1020.78,1021.02,1022.14,5.31,5.16,5.83,5.3,4.23,3.65,4.41,4.31,4.61,3.46,3.18,2.38,2.02,1.52,1.38,2.53,4.04,3.92,2.6,3.18,4.02,4.81,5.01,4.98,4.52,9.997,9.997,9.997,9.111,9.283,9.997,9.524,9.997,5.957,9.83,9.997,8.126,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.002,0.002,0,0,0,0,0,0.002,0.004,0.003,0,0,0,0,0,0,0,0,0,0,0,0.19,0.27,0.22,0.18,0.45,0.42,0,0,0,0,0,0.45,0.47,0.44,1,1,0
9.17,8.78,6.13,1.36,0.91,0.31,0.36,0.15,0.51,0.61,0.34,0.08,0.4,0.23,0.34,0.68,0.37,0.46,0.45,0.34,0.87,1,1.99,1.95,1.66,37.16,37.15,36.14,33.19,30.39,28.21,26.17,24.88,23.29,22.67,21.78,20.89,20.66,20.01,19.09,18.94,18.76,18.77,18.51,20.47,26.01,29.52,31.44,33.59,34.94,26.1,25.85,25.4,24.41,23.51,22.34,21.14,20.19,19.39,19,18.47,17.78,17.45,16.6,15.8,15.97,15.88,15.71,15.4,17.47,22.18,24.08,24.22,25.06,25.13,0.64,0.63,0.65,0.7,0.75,0.78,0.81,0.82,0.85,0.86,0.87,0.88,0.87,0.86,0.87,0.88,0.88,0.88,0.87,0.88,0.85,0.8,0.74,0.71,0.67,33.55,34.54,33.75,33.19,30.39,28.21,26.17,24.88,23.29,22.67,21.78,20.89,20.66,20.01,19.09,18.94,18.76,18.77,18.51,20.47,26.01,29.52,31.44,33.59,34.94,1022.14,1023.07,1024.17,1025.68,1026.9,1027.55,1028.79,1029.93,1030.63,1030.92,1031.11,1031.09,1031.63,1032.41,1032.35,1032.05,1032.55,1032.96,1033.43,1034.42,1034.33,1033.94,1032.89,1032.19,1031.48,4.52,3.51,3.2,0.66,0.45,0.09,0.14,0.02,0.36,0.01,0.16,0.04,0.35,0.08,0.1,0.25,0.08,0.09,0.05,0,0.03,0.21,0.5,0.74,0.46,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.139,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,0.003,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.15,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
1.66,1.28,1.01,1.08,1.24,0.82,0.67,1,1.13,1.32,1.3,1.2,0.79,1.66,1.15,1.36,2.48,1.69,2.08,2.52,1.66,1.88,2.05,3.19,2.42,34.94,35.41,35.2,34.52,33.79,33.49,33.33,33.11,33.11,33.81,34.17,34.44,34.14,34.06,33.97,33.74,33.54,33.45,33.29,33.73,34.63,35.17,35.98,36.31,36.37,25.13,25.18,25.11,25.39,25.35,25.47,25.49,25.88,26.44,27.15,27.62,28.11,27.99,28.12,28.08,28.1,28.73,29.15,29.04,29.74,31.05,31.88,32.68,33.1,33.28,0.67,0.66,0.66,0.69,0.71,0.72,0.73,0.74,0.76,0.76,0.77,0.77,0.78,0.79,0.79,0.8,0.82,0.84,0.84,0.85,0.87,0.88,0.88,0.88,0.88,34.94,35.41,35.2,34.52,33.79,33.49,33.33,33.11,33.11,33.81,34.17,34.44,34.14,34.06,33.97,33.74,33.54,33.45,33.29,33.73,34.63,35.17,35.98,36.31,36.37,1031.48,1031.85,1031.11,1031.11,1030.68,1030.7,1030.31,1029.57,1027.72,1026.95,1026.44,1025.82,1025.41,1024.81,1023.95,1022.53,1022.16,1021.3,1020.03,1019.21,1018.18,1016.92,1014.9,1012.95,1011.39,0.46,0.62,0.39,0.19,0.38,0.51,0.31,0.28,0.45,0.31,0.46,0.36,0.33,0.95,0.71,0.76,1.46,0.9,1.08,1.38,0.94,0.86,0.8,1.2,1.21,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,7.076,7.002,4.59,5.817,4.771,3.871,5.515,7.009,7.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.006,0.007,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.31,0.63,0.61,0.41,3,1,0
2.42,3.56,3.23,2.92,3.91,2.67,2.61,3.93,1.47,1.38,0.68,0.2,0.11,0.16,0.07,0.2,0.89,1.62,2.65,3.52,4.03,2.23,2.21,6.42,4.25,36.37,36.78,36.47,36.3,36.27,36.33,36.33,36.33,36.23,36.13,35.95,35.67,35.46,35.34,35.12,34.98,35.31,35.57,35.8,37.16,38.08,38.8,40.22,41.08,41.43,33.28,33.59,33.7,34.04,34.1,34.23,34.14,34.26,34.19,34.24,34.04,33.64,33.52,33.37,33.29,33.11,33.47,33.57,33.86,35.35,36.25,36.91,37.97,38.25,37.01,0.88,0.88,0.9,0.91,0.92,0.92,0.92,0.92,0.92,0.93,0.93,0.92,0.93,0.92,0.93,0.93,0.93,0.92,0.93,0.93,0.93,0.93,0.92,0.9,0.84,36.37,36.78,36.47,36.3,36.27,36.33,36.33,36.33,36.23,36.13,35.95,35.67,35.46,35.34,35.12,34.98,35.31,35.57,35.8,37.16,38.08,38.8,40.22,41.08,41.43,1011.39,1009.18,1008.56,1006.48,1005.07,1003.93,1001.99,1000.09,999.5,998.69,997.52,996.78,996.62,996.33,995.65,994.99,995.23,995.21,995.62,995.78,996.1,996,995.77,995.96,996.36,1.21,1.5,1.54,1.63,1.72,1.42,1.86,1.86,1.25,0.67,0.39,0.09,0.03,0.05,0,0.1,0.34,0.46,0.92,1.31,1.23,1.2,1.26,2.51,1.46,7.082,6.005,2.934,5.256,4.171,6.287,7.107,6.087,3.998,4.388,3.454,3.845,3.26,2.5,1.337,1.009,1.008,1.633,3.599,5.834,5.994,6.639,8.958,9.997,9.752,0.002,0.004,0.017,0.067,0.084,0.099,0.034,0.013,0.013,0.015,0.008,0.022,0.042,0.015,0.001,0.001,0,0,0,0,0,0,0,0.001,0.001,0.41,0.67,0.87,1,1,1,0.97,0.88,0.92,1,0.98,0.97,1,0.95,0.21,0.21,0,0,0,0,0,0,0,0.09,0.19,4,1,0
4.25,5.46,8.41,10.33,12.1,13.24,12.15,13.77,12.98,9.21,6.32,8.8,12.88,16.02,11.93,9.88,9.22,9.99,8.81,9.67,12.17,12.42,12.95,10.97,11.1,41.43,41.97,38.75,36.96,34.49,33.07,31.46,29.43,27.07,25.67,24.57,23.76,23.04,22.39,21.71,21.01,21.85,21.89,21.94,23.63,25.34,26.53,26.68,27.33,27.59,37.01,35.47,32.72,30.31,27.6,21.69,19.62,19.05,17.07,15.34,15.19,16.15,14.89,10.96,10.16,10.72,10.91,10.61,9.9,10.59,10.85,10.64,10.56,10.63,10.55,0.84,0.78,0.79,0.77,0.76,0.63,0.61,0.65,0.66,0.64,0.67,0.72,0.71,0.61,0.61,0.64,0.62,0.61,0.59,0.57,0.54,0.51,0.5,0.49,0.48,41.43,41.97,35.65,33.64,30.17,27.64,26.81,23.53,20.27,21.17,24.57,18.86,16.5,13.91,14.63,14.77,16.34,15.73,16.15,16.89,18.78,20.15,20.13,22.03,22.55,996.36,995.97,996,997.4,998.44,999.44,1000.32,1001.04,1002.4,1003.46,1003.44,1003.94,1005.08,1005.97,1006.69,1007.39,1008.58,1009.23,1010.09,1011.09,1012.17,1011.95,1011.89,1011.12,1011.41,1.46,2.55,4.24,4.16,4.82,5.83,4.61,5.57,6.1,3.69,2.76,3.77,5.04,7,5.33,4.48,4.01,4.53,4.24,5.35,5.48,5.51,5.73,4.57,4.38,9.752,9.997,9.281,9.997,8.446,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.875,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,0.001,0,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.28,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
11.1,8.18,4.1,0.65,0.54,0.93,1.8,1.97,1.46,0.68,0.72,1.2,2.24,1.88,3.32,2.07,3.59,6.97,5.25,7.85,9.08,9.77,11.08,9.11,9.72,27.59,27.64,27.07,25.37,24.59,24.66,25.44,25.47,24.96,24.53,24.5,24.66,24.92,24.27,23.3,22.16,21.66,20.65,19.46,20.38,21.9,23.05,23.91,24.31,24.51,10.55,11.01,11.24,11.67,12.85,13.76,14.22,15.93,17.35,17.82,17.84,17.6,18.1,18.81,17.9,16.15,15.35,13.33,12,11.55,10.39,8.87,7.9,7.38,6.88,0.48,0.49,0.51,0.56,0.6,0.63,0.62,0.67,0.72,0.75,0.75,0.74,0.75,0.79,0.8,0.77,0.76,0.73,0.72,0.68,0.61,0.54,0.5,0.48,0.46,22.55,23.47,27.07,25.37,24.59,24.66,25.44,25.47,24.96,24.53,24.5,24.66,24.92,24.27,23.3,22.16,21.66,15.59,19.46,15.81,16.21,17.37,17.9,18.11,19.36,1011.41,1011.58,1011.94,1011.93,1012.14,1012.25,1012.45,1013.01,1013.08,1013.24,1012.96,1013.13,1013.43,1013.84,1013.51,1013.76,1014.18,1015.53,1016.53,1017.27,1018.24,1018.46,1017.66,1017.58,1017.6,4.38,3.65,2.05,0.42,0.23,0.44,1.03,0.7,0.45,0.21,0.26,0.57,1.16,0.85,1.5,1.04,1.98,3.56,2.34,3.22,4.15,4.29,4.7,4.94,4.05,9.997,9.997,9.997,9.997,9.997,9.997,9.997,8.689,5.939,9.163,8.934,9.663,4.518,7.755,8.072,9.019,9.08,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
9.72,8.93,6.65,4.01,3.53,3.2,3.19,2.53,1.98,0.84,1.16,0.45,0.67,0.6,0.54,0.8,1,0.5,1,2.01,2.39,3.57,4.8,5.23,4.88,24.51,24.18,22.78,20.88,19.53,18.36,17.73,16.71,15.46,13.8,12.51,11.43,10.87,11.26,11.64,12.18,13.04,13.31,13.69,14.92,16.03,17.58,18.69,19.74,20.77,6.88,6.58,6.52,6.31,5.92,5.93,5.6,5.57,5.29,4.83,4.69,4.42,4.27,5.01,5.49,6.21,6.72,6.77,6.95,7.65,7.82,7.99,8,8.32,8.54,0.46,0.46,0.49,0.53,0.55,0.58,0.58,0.61,0.64,0.67,0.7,0.73,0.74,0.75,0.76,0.77,0.75,0.75,0.74,0.72,0.7,0.66,0.62,0.61,0.59,19.36,18.2,18.69,20.88,19.53,18.36,17.73,16.71,15.46,13.8,12.51,11.43,10.87,11.26,11.64,12.18,13.04,13.31,13.69,14.92,16.03,17.58,18.69,19.74,20.77,1017.6,1018.18,1019.15,1020.16,1021.37,1022.48,1023.65,1024.53,1024.63,1024.64,1025.04,1026.49,1026.42,1027.39,1026.97,1027.39,1027.83,1027.89,1027.74,1027.13,1027.46,1026.83,1025.66,1024.21,1023.69,4.05,4.71,3.12,1.95,1.77,1.36,1.33,1.04,0.73,0.34,0.3,0.08,0.05,0.18,0.19,0.18,0.07,0.04,0.17,0.65,0.96,1.52,1.59,2.07,2.17,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.808,9.997,9.997,9.997,9.997,9.997,9.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
4.88,4.72,3.62,3.4,5.13,5.01,4.6,4.82,3.7,4.32,3.22,3.69,3.12,3.48,2.99,2.41,2.53,3.25,4.56,4.85,5.57,7.65,8.64,9.87,10.91,20.77,20.69,20.38,19.67,19.52,19.44,19.05,18.15,17.42,16.74,15.84,15.48,15.13,14.77,14.42,13.71,12.97,12.7,12.97,13.76,15.17,17.4,18.7,19.21,19.99,8.54,9.02,9.1,9.65,10,9.89,10.04,9.49,8.8,7.88,7.24,6.89,6.66,6.78,6.75,6.51,6.41,5.98,6.27,6.84,6.82,7.22,6.78,7.26,8.19,0.59,0.6,0.61,0.65,0.66,0.66,0.67,0.68,0.68,0.68,0.68,0.68,0.69,0.7,0.71,0.73,0.75,0.74,0.74,0.73,0.69,0.64,0.59,0.59,0.6,20.77,20.69,20.38,19.67,19.52,19.44,19.05,18.15,17.42,16.74,15.84,15.48,15.13,14.77,14.42,13.71,12.97,12.7,12.97,13.76,15.17,17.4,13.18,12.45,13.16,1023.69,1023.48,1022.79,1022.01,1021.92,1022,1020.7,1020.21,1020.28,1020.48,1020.19,1020.19,1020.95,1020.91,1021.07,1021.24,1021.41,1021.92,1022.61,1022.79,1023.19,1022.92,1022.31,1022.31,1022.7,2.17,2.16,1.83,1.32,1.82,1.75,2.07,1.62,1.51,1.64,1.51,1.47,1.2,1.28,1.09,0.91,1,1.69,2.02,1.85,2.22,2.92,3.67,4.66,4.83,9.997,9.997,9.997,7.604,7.904,9.126,9.25,8.851,9.997,9.997,9.997,9.997,9.997,9.997,5.967,4.542,6.495,6.495,7.94,8.23,8.348,7.423,7.88,9.997,9.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
10.91,12.43,12.22,11.99,10.69,9.2,7.89,7.35,8.56,8.1,6.47,5.02,2.51,1.47,0.57,0.41,1,0.64,0.58,0.83,2.92,3.98,4.87,5.35,6.4,19.99,20.23,19.32,17.46,16.06,15.02,13.97,13.08,11.9,10.61,9.12,7.9,6.9,5.5,4.21,3.14,2.56,2.08,2.85,6.51,10.38,13.45,15.26,17.09,18.06,8.19,7.61,6.9,5.95,4.53,3.53,3.19,2.94,2.33,1.22,0.41,-0.12,-0.96,-1.43,-1.83,-2.26,-2.75,-3.12,-2.11,1.53,3.51,4.71,5.67,6.46,6.76,0.6,0.58,0.58,0.6,0.6,0.6,0.62,0.63,0.65,0.65,0.67,0.69,0.7,0.72,0.75,0.78,0.78,0.78,0.79,0.8,0.73,0.68,0.65,0.62,0.61,13.16,13.06,12.35,9.86,9.9,8.81,7.76,6.97,5.76,4.36,9.12,7.9,6.9,5.5,4.21,3.14,2.56,2.08,2.85,6.51,10.38,13.45,15.26,17.09,18.06,1022.7,1023.51,1024.57,1025.57,1026.99,1028.63,1030.12,1031.49,1032.42,1033.11,1033.7,1034.42,1035.23,1035.79,1036.32,1036.82,1037.2,1037.52,1038.29,1038.88,1039.36,1038.91,1037.77,1037.27,1036.41,4.83,5.17,4.86,5.11,3.84,3.77,3.67,3.53,3.44,3.4,2.8,2.32,1.38,0.73,0.49,0.26,0.48,0.21,0.15,0.16,0.79,1.77,2.1,2.54,2.96,9.37,9.997,9.431,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
6.4,7.59,8.68,6.7,7.98,9.17,8.54,6.5,5.35,4.71,4.19,3.04,2.63,1.75,1.63,2.13,2.59,3.96,5.99,8.21,8,10.45,11.19,12.61,12.39,18.06,19.16,19.4,18.68,18.6,18.89,18.42,17.41,16.7,16.49,15.83,14.76,14.06,13.45,12.94,13.18,14.52,15.21,16.21,18.5,21.11,23.07,25.66,27,28.41,6.76,7.04,6.53,6.19,6.28,6.18,6.25,5.92,5.98,6.19,6.3,6.03,5.99,5.97,5.71,6.39,7.13,7.24,7.81,9.26,9.59,9.15,10.24,10.25,11.3,0.61,0.59,0.57,0.58,0.58,0.57,0.58,0.6,0.62,0.63,0.65,0.68,0.7,0.72,0.72,0.74,0.72,0.7,0.69,0.67,0.61,0.55,0.52,0.49,0.48,18.06,14.13,19.4,18.68,13.47,13.52,13.65,17.41,16.7,16.49,15.83,14.76,14.06,13.45,12.94,13.18,14.52,15.21,16.21,13.61,21.11,16.87,19.78,20.74,22.69,1036.41,1035.9,1035.95,1035.95,1035.84,1035.73,1035.68,1036.04,1036.47,1036.43,1035.93,1035.89,1036.08,1036.69,1036.5,1035.8,1036.43,1035.7,1035.5,1035.51,1035.54,1034.48,1033.05,1031.41,1030.69,2.96,3.4,2.96,2.52,3.41,3.59,3.18,2.41,2.49,1.85,1.7,1.06,0.76,0.83,0.31,0.53,1.16,1.91,2.4,3.25,2.98,4.74,4.85,5.47,5.17,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
