windGust0,windGust1,windGust2,windGust3,windGust4,windGust5,windGust6,windGust7,windGust8,windGust9,windGust10,windGust11,windGust12,windGust13,windGust14,windGust15,windGust16,windGust17,windGust18,windGust19,windGust20,windGust21,windGust22,windGust23,windGust24,temperature0,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,temperature8,temperature9,temperature10,temperature11,temperature12,temperature13,temperature14,temperature15,temperature16,temperature17,temperature18,temperature19,temperature20,temperature21,temperature22,temperature23,temperature24,dewPoint0,dewPoint1,dewPoint2,dewPoint3,dewPoint4,dewPoint5,dewPoint6,dewPoint7,dewPoint8,dewPoint9,dewPoint10,dewPoint11,dewPoint12,dewPoint13,dewPoint14,dewPoint15,dewPoint16,dewPoint17,dewPoint18,dewPoint19,dewPoint20,dewPoint21,dewPoint22,dewPoint23,dewPoint24,humidity0,humidity1,humidity2,humidity3,humidity4,humidity5,humidity6,humidity7,humidity8,humidity9,humidity10,humidity11,humidity12,humidity13,humidity14,humidity15,humidity16,humidity17,humidity18,humidity19,humidity20,humidity21,humidity22,humidity23,humidity24,apparentTemperature0,apparentTemperature1,apparentTemperature2,apparentTemperature3,apparentTemperature4,apparentTemperature5,apparentTemperature6,apparentTemperature7,apparentTemperature8,apparentTemperature9,apparentTemperature10,apparentTemperature11,apparentTemperature12,apparentTemperature13,apparentTemperature14,apparentTemperature15,apparentTemperature16,apparentTemperature17,apparentTemperature18,apparentTemperature19,apparentTemperature20,apparentTemperature21,apparentTemperature22,apparentTemperature23,apparentTemperature24,pressure0,pressure1,pressure2,pressure3,pressure4,pressure5,pressure6,pressure7,pressure8,pressure9,pressure10,pressure11,pressure12,pressure13,pressure14,pressure15,pressure16,pressure17,pressure18,pressure19,pressure20,pressure21,pressure22,pressure23,pressure24,windSpeed0,windSpeed1,windSpeed2,windSpeed3,windSpeed4,windSpeed5,windSpeed6,windSpeed7,windSpeed8,windSpeed9,windSpeed10,windSpeed11,windSpeed12,windSpeed13,windSpeed14,windSpeed15,windSpeed16,windSpeed17,windSpeed18,windSpeed19,windSpeed20,windSpeed21,windSpeed22,windSpeed23,windSpeed24,visibility0,visibility1,visibility2,visibility3,visibility4,visibility5,visibility6,visibility7,visibility8,visibility9,visibility10,visibility11,visibility12,visibility13,visibility14,visibility15,visibility16,visibility17,visibility18,visibility19,visibility20,visibility21,visibility22,visibility23,visibility24,precipIntensity0,precipIntensity1,precipIntensity2,precipIntensity3,precipIntensity4,precipIntensity5,precipIntensity6,precipIntensity7,precipIntensity8,precipIntensity9,precipIntensity10,precipIntensity11,precipIntensity12,precipIntensity13,precipIntensity14,precipIntensity15,precipIntensity16,precipIntensity17,precipIntensity18,precipIntensity19,precipIntensity20,precipIntensity21,precipIntensity22,precipIntensity23,precipIntensity24,precipProbability0,precipProbability1,precipProbability2,precipProbability3,precipProbability4,precipProbability5,precipProbability6,precipProbability7,precipProbability8,precipProbability9,precipProbability10,precipProbability11,precipProbability12,precipProbability13,precipProbability14,precipProbability15,precipProbability16,precipProbability17,precipProbability18,precipProbability19,precipProbability20,precipProbability21,precipProbability22,precipProbability23,precipProbability24,day,month,outcome
0.3155,0.3205,0.33675,0.3365,0.284,0.23975,0.267,0.25875,0.23925,0.1865,0.19975,0.131,0.10725,0.104,0.10825,0.1435,0.24525,0.236,0.15825,0.1755,0.22975,0.295,0.28175,0.2935,0.22925,0.420066666667,0.424533333333,0.426333333333,0.429266666667,0.4328,0.437,0.441933333333,0.444733333333,0.441733333333,0.4396,0.4414,0.441333333333,0.4404,0.442066666667,0.4396,0.435533333333,0.4348,0.435133333333,0.4288,0.435266666667,0.442066666667,0.447266666667,0.451666666667,0.4502,0.447733333333,0.3452,0.344,0.342266666667,0.352533333333,0.362866666667,0.355933333333,0.356066666667,0.365866666667,0.380666666667,0.388333333333,0.3886,0.391733333333,0.392733333333,0.391133333333,0.389333333333,0.399533333333,0.392466666667,0.374733333333,0.356533333333,0.356133333333,0.3626,0.370466666667,0.3704,0.3714,0.374,0.63,0.61,0.6,0.62,0.65,0.61,0.59,0.62,0.69,0.73,0.73,0.74,0.75,0.74,0.74,0.8,0.77,0.69,0.64,0.62,0.62,0.63,0.61,0.62,0.64,0.3866,0.392733333333,0.3912,0.397466666667,0.408133333333,0.417,0.417533333333,0.421466666667,0.416133333333,0.4214,0.425733333333,0.441333333333,0.4404,0.442066666667,0.4396,0.435533333333,0.411666666667,0.412866666667,0.4288,0.4188,0.4202,0.421466666667,0.425533333333,0.423866666667,0.423666666667,0.505466666667,0.492933333333,0.497866666667,0.498,0.4856,0.4876,0.478133333333,0.4684,0.471466666667,0.462,0.456533333333,0.458133333333,0.460933333333,0.46,0.464933333333,0.482933333333,0.5116,0.532666666667,0.5408,0.569466666667,0.593733333333,0.6052,0.6104,0.6136,0.628533333333,0.2655,0.258,0.2915,0.265,0.2115,0.1825,0.2205,0.2155,0.2305,0.173,0.159,0.119,0.101,0.076,0.069,0.1265,0.202,0.196,0.13,0.159,0.201,0.2405,0.2505,0.249,0.226,0.9997,0.9997,0.9997,0.9111,0.9283,0.9997,0.9524,0.9997,0.5957,0.983,0.9997,0.8126,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0.002,0.004,0.004,0,0,0,0,0,0.004,0.008,0.006,0,0,0,0,0,0,0,0,0,0,0,0.19,0.27,0.22,0.18,0.45,0.42,0,0,0,0,0,0.45,0.47,0.44,0,0,0
0.22925,0.2195,0.15325,0.034,0.02275,0.00775,0.009,0.00375,0.01275,0.01525,0.0085,0.002,0.01,0.00575,0.0085,0.017,0.00925,0.0115,0.01125,0.0085,0.02175,0.025,0.04975,0.04875,0.0415,0.447733333333,0.447666666667,0.440933333333,0.421266666667,0.4026,0.388066666667,0.374466666667,0.365866666667,0.355266666667,0.351133333333,0.3452,0.339266666667,0.337733333333,0.3334,0.327266666667,0.326266666667,0.325066666667,0.325133333333,0.3234,0.336466666667,0.3734,0.3968,0.4096,0.423933333333,0.432933333333,0.374,0.372333333333,0.369333333333,0.362733333333,0.356733333333,0.348933333333,0.340933333333,0.3346,0.329266666667,0.326666666667,0.323133333333,0.318533333333,0.316333333333,0.310666666667,0.305333333333,0.306466666667,0.305866666667,0.304733333333,0.302666666667,0.316466666667,0.347866666667,0.360533333333,0.361466666667,0.367066666667,0.367533333333,0.64,0.63,0.65,0.7,0.75,0.78,0.81,0.82,0.85,0.86,0.87,0.88,0.87,0.86,0.87,0.88,0.88,0.88,0.87,0.88,0.85,0.8,0.74,0.71,0.67,0.423666666667,0.430266666667,0.425,0.421266666667,0.4026,0.388066666667,0.374466666667,0.365866666667,0.355266666667,0.351133333333,0.3452,0.339266666667,0.337733333333,0.3334,0.327266666667,0.326266666667,0.325066666667,0.325133333333,0.3234,0.336466666667,0.3734,0.3968,0.4096,0.423933333333,0.432933333333,0.628533333333,0.640933333333,0.6556,0.675733333333,0.692,0.700666666667,0.7172,0.7324,0.741733333333,0.7456,0.748133333333,0.747866666667,0.755066666667,0.765466666667,0.764666666667,0.760666666667,0.767333333333,0.7728,0.779066666667,0.792266666667,0.791066666667,0.785866666667,0.771866666667,0.762533333333,0.753066666667,0.226,0.1755,0.16,0.033,0.0225,0.0045,0.007,0.001,0.018,0.0005,0.008,0.002,0.0175,0.004,0.005,0.0125,0.004,0.0045,0.0025,0,0.0015,0.0105,0.025,0.037,0.023,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9139,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.006,0.004,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.15,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333,0,0
0.0415,0.032,0.02525,0.027,0.031,0.0205,0.01675,0.025,0.02825,0.033,0.0325,0.03,0.01975,0.0415,0.02875,0.034,0.062,0.04225,0.052,0.063,0.0415,0.047,0.05125,0.07975,0.0605,0.432933333333,0.436066666667,0.434666666667,0.430133333333,0.425266666667,0.423266666667,0.4222,0.420733333333,0.420733333333,0.4254,0.4278,0.4296,0.4276,0.427066666667,0.426466666667,0.424933333333,0.4236,0.423,0.421933333333,0.424866666667,0.430866666667,0.434466666667,0.439866666667,0.442066666667,0.442466666667,0.367533333333,0.367866666667,0.3674,0.369266666667,0.369,0.3698,0.369933333333,0.372533333333,0.376266666667,0.381,0.384133333333,0.3874,0.3866,0.387466666667,0.3872,0.387333333333,0.391533333333,0.394333333333,0.3936,0.398266666667,0.407,0.412533333333,0.417866666667,0.420666666667,0.421866666667,0.67,0.66,0.66,0.69,0.71,0.72,0.73,0.74,0.76,0.76,0.77,0.77,0.78,0.79,0.79,0.8,0.82,0.84,0.84,0.85,0.87,0.88,0.88,0.88,0.88,0.432933333333,0.436066666667,0.434666666667,0.430133333333,0.425266666667,0.423266666667,0.4222,0.420733333333,0.420733333333,0.4254,0.4278,0.4296,0.4276,0.427066666667,0.426466666667,0.424933333333,0.4236,0.423,0.421933333333,0.424866666667,0.430866666667,0.434466666667,0.439866666667,0.442066666667,0.442466666667,0.753066666667,0.758,0.748133333333,0.748133333333,0.7424,0.742666666667,0.737466666667,0.7276,0.702933333333,0.692666666667,0.685866666667,0.6776,0.672133333333,0.664133333333,0.652666666667,0.633733333333,0.6288,0.617333333333,0.6004,0.589466666667,0.575733333333,0.558933333333,0.532,0.506,0.4852,0.023,0.031,0.0195,0.0095,0.019,0.0255,0.0155,0.014,0.0225,0.0155,0.023,0.018,0.0165,0.0475,0.0355,0.038,0.073,0.045,0.054,0.069,0.047,0.043,0.04,0.06,0.0605,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.7076,0.7002,0.459,0.5817,0.4771,0.3871,0.5515,0.7009,0.7082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.004,0.012,0.014,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.31,0.63,0.61,0.41,0.0666666666667,0,0
0.0605,0.089,0.08075,0.073,0.09775,0.06675,0.06525,0.09825,0.03675,0.0345,0.017,0.005,0.00275,0.004,0.00175,0.005,0.02225,0.0405,0.06625,0.088,0.10075,0.05575,0.05525,0.1605,0.10625,0.442466666667,0.4452,0.443133333333,0.442,0.4418,0.4422,0.4422,0.4422,0.441533333333,0.440866666667,0.439666666667,0.4378,0.4364,0.4356,0.434133333333,0.4332,0.4354,0.437133333333,0.438666666667,0.447733333333,0.453866666667,0.458666666667,0.468133333333,0.473866666667,0.4762,0.421866666667,0.423933333333,0.424666666667,0.426933333333,0.427333333333,0.4282,0.4276,0.4284,0.427933333333,0.428266666667,0.426933333333,0.424266666667,0.423466666667,0.422466666667,0.421933333333,0.420733333333,0.423133333333,0.4238,0.425733333333,0.435666666667,0.441666666667,0.446066666667,0.453133333333,0.455,0.446733333333,0.88,0.88,0.9,0.91,0.92,0.92,0.92,0.92,0.92,0.93,0.93,0.92,0.93,0.92,0.93,0.93,0.93,0.92,0.93,0.93,0.93,0.93,0.92,0.9,0.84,0.442466666667,0.4452,0.443133333333,0.442,0.4418,0.4422,0.4422,0.4422,0.441533333333,0.440866666667,0.439666666667,0.4378,0.4364,0.4356,0.434133333333,0.4332,0.4354,0.437133333333,0.438666666667,0.447733333333,0.453866666667,0.458666666667,0.468133333333,0.473866666667,0.4762,0.4852,0.455733333333,0.447466666667,0.419733333333,0.400933333333,0.385733333333,0.359866666667,0.334533333333,0.326666666667,0.315866666667,0.300266666667,0.2904,0.288266666667,0.2844,0.275333333333,0.266533333333,0.269733333333,0.269466666667,0.274933333333,0.277066666667,0.281333333333,0.28,0.276933333333,0.279466666667,0.2848,0.0605,0.075,0.077,0.0815,0.086,0.071,0.093,0.093,0.0625,0.0335,0.0195,0.0045,0.0015,0.0025,0,0.005,0.017,0.023,0.046,0.0655,0.0615,0.06,0.063,0.1255,0.073,0.7082,0.6005,0.2934,0.5256,0.4171,0.6287,0.7107,0.6087,0.3998,0.4388,0.3454,0.3845,0.326,0.25,0.1337,0.1009,0.1008,0.1633,0.3599,0.5834,0.5994,0.6639,0.8958,0.9997,0.9752,0.004,0.008,0.034,0.134,0.168,0.198,0.068,0.026,0.026,0.03,0.016,0.044,0.084,0.03,0.002,0.002,0,0,0,0,0,0,0,0.002,0.002,0.41,0.67,0.87,1,1,1,0.97,0.88,0.92,1,0.98,0.97,1,0.95,0.21,0.21,0,0,0,0,0,0,0,0.09,0.19,0.1,0,0
0.10625,0.1365,0.21025,0.25825,0.3025,0.331,0.30375,0.34425,0.3245,0.23025,0.158,0.22,0.322,0.4005,0.29825,0.247,0.2305,0.24975,0.22025,0.24175,0.30425,0.3105,0.32375,0.27425,0.2775,0.4762,0.4798,0.458333333333,0.4464,0.429933333333,0.420466666667,0.409733333333,0.3962,0.380466666667,0.371133333333,0.3638,0.3584,0.3536,0.349266666667,0.344733333333,0.340066666667,0.345666666667,0.345933333333,0.346266666667,0.357533333333,0.368933333333,0.376866666667,0.377866666667,0.3822,0.383933333333,0.446733333333,0.436466666667,0.418133333333,0.402066666667,0.384,0.3446,0.3308,0.327,0.3138,0.302266666667,0.301266666667,0.307666666667,0.299266666667,0.273066666667,0.267733333333,0.271466666667,0.272733333333,0.270733333333,0.266,0.2706,0.272333333333,0.270933333333,0.2704,0.270866666667,0.270333333333,0.84,0.78,0.79,0.77,0.76,0.63,0.61,0.65,0.66,0.64,0.67,0.72,0.71,0.61,0.61,0.64,0.62,0.61,0.59,0.57,0.54,0.51,0.5,0.49,0.48,0.4762,0.4798,0.437666666667,0.424266666667,0.401133333333,0.384266666667,0.378733333333,0.356866666667,0.335133333333,0.341133333333,0.3638,0.325733333333,0.31,0.292733333333,0.297533333333,0.298466666667,0.308933333333,0.304866666667,0.307666666667,0.3126,0.3252,0.334333333333,0.3342,0.346866666667,0.350333333333,0.2848,0.2796,0.28,0.298666666667,0.312533333333,0.325866666667,0.3376,0.3472,0.365333333333,0.379466666667,0.3792,0.385866666667,0.401066666667,0.412933333333,0.422533333333,0.431866666667,0.447733333333,0.4564,0.467866666667,0.4812,0.4956,0.492666666667,0.491866666667,0.4816,0.485466666667,0.073,0.1275,0.212,0.208,0.241,0.2915,0.2305,0.2785,0.305,0.1845,0.138,0.1885,0.252,0.35,0.2665,0.224,0.2005,0.2265,0.212,0.2675,0.274,0.2755,0.2865,0.2285,0.219,0.9752,0.9997,0.9281,0.9997,0.8446,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9875,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.002,0,0.004,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.28,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333333,0,0
0.2775,0.2045,0.1025,0.01625,0.0135,0.02325,0.045,0.04925,0.0365,0.017,0.018,0.03,0.056,0.047,0.083,0.05175,0.08975,0.17425,0.13125,0.19625,0.227,0.24425,0.277,0.22775,0.243,0.383933333333,0.384266666667,0.380466666667,0.369133333333,0.363933333333,0.3644,0.3696,0.3698,0.3664,0.363533333333,0.363333333333,0.3644,0.366133333333,0.3618,0.355333333333,0.347733333333,0.3444,0.337666666667,0.329733333333,0.335866666667,0.346,0.353666666667,0.3594,0.362066666667,0.3634,0.270333333333,0.2734,0.274933333333,0.2778,0.285666666667,0.291733333333,0.2948,0.3062,0.315666666667,0.3188,0.318933333333,0.317333333333,0.320666666667,0.3254,0.319333333333,0.307666666667,0.302333333333,0.288866666667,0.28,0.277,0.269266666667,0.259133333333,0.252666666667,0.2492,0.245866666667,0.48,0.49,0.51,0.56,0.6,0.63,0.62,0.67,0.72,0.75,0.75,0.74,0.75,0.79,0.8,0.77,0.76,0.73,0.72,0.68,0.61,0.54,0.5,0.48,0.46,0.350333333333,0.356466666667,0.380466666667,0.369133333333,0.363933333333,0.3644,0.3696,0.3698,0.3664,0.363533333333,0.363333333333,0.3644,0.366133333333,0.3618,0.355333333333,0.347733333333,0.3444,0.303933333333,0.329733333333,0.3054,0.308066666667,0.3158,0.319333333333,0.320733333333,0.329066666667,0.485466666667,0.487733333333,0.492533333333,0.4924,0.4952,0.496666666667,0.499333333333,0.5068,0.507733333333,0.509866666667,0.506133333333,0.5084,0.5124,0.517866666667,0.513466666667,0.5168,0.5224,0.5404,0.553733333333,0.5636,0.576533333333,0.579466666667,0.5688,0.567733333333,0.568,0.219,0.1825,0.1025,0.021,0.0115,0.022,0.0515,0.035,0.0225,0.0105,0.013,0.0285,0.058,0.0425,0.075,0.052,0.099,0.178,0.117,0.161,0.2075,0.2145,0.235,0.247,0.2025,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.8689,0.5939,0.9163,0.8934,0.9663,0.4518,0.7755,0.8072,0.9019,0.908,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666667,0,0
0.243,0.22325,0.16625,0.10025,0.08825,0.08,0.07975,0.06325,0.0495,0.021,0.029,0.01125,0.01675,0.015,0.0135,0.02,0.025,0.0125,0.025,0.05025,0.05975,0.08925,0.12,0.13075,0.122,0.3634,0.3612,0.351866666667,0.3392,0.3302,0.3224,0.3182,0.3114,0.303066666667,0.292,0.2834,0.2762,0.272466666667,0.275066666667,0.2776,0.2812,0.286933333333,0.288733333333,0.291266666667,0.299466666667,0.306866666667,0.3172,0.3246,0.3316,0.338466666667,0.245866666667,0.243866666667,0.243466666667,0.242066666667,0.239466666667,0.239533333333,0.237333333333,0.237133333333,0.235266666667,0.2322,0.231266666667,0.229466666667,0.228466666667,0.2334,0.2366,0.2414,0.2448,0.245133333333,0.246333333333,0.251,0.252133333333,0.253266666667,0.253333333333,0.255466666667,0.256933333333,0.46,0.46,0.49,0.53,0.55,0.58,0.58,0.61,0.64,0.67,0.7,0.73,0.74,0.75,0.76,0.77,0.75,0.75,0.74,0.72,0.7,0.66,0.62,0.61,0.59,0.329066666667,0.321333333333,0.3246,0.3392,0.3302,0.3224,0.3182,0.3114,0.303066666667,0.292,0.2834,0.2762,0.272466666667,0.275066666667,0.2776,0.2812,0.286933333333,0.288733333333,0.291266666667,0.299466666667,0.306866666667,0.3172,0.3246,0.3316,0.338466666667,0.568,0.575733333333,0.588666666667,0.602133333333,0.618266666667,0.633066666667,0.648666666667,0.6604,0.661733333333,0.661866666667,0.6672,0.686533333333,0.6856,0.698533333333,0.692933333333,0.698533333333,0.7044,0.7052,0.7032,0.695066666667,0.699466666667,0.691066666667,0.675466666667,0.656133333333,0.6492,0.2025,0.2355,0.156,0.0975,0.0885,0.068,0.0665,0.052,0.0365,0.017,0.015,0.004,0.0025,0.009,0.0095,0.009,0.0035,0.002,0.0085,0.0325,0.048,0.076,0.0795,0.1035,0.1085,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9808,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0
0.122,0.118,0.0905,0.085,0.12825,0.12525,0.115,0.1205,0.0925,0.108,0.0805,0.09225,0.078,0.087,0.07475,0.06025,0.06325,0.08125,0.114,0.12125,0.13925,0.19125,0.216,0.24675,0.27275,0.338466666667,0.337933333333,0.335866666667,0.331133333333,0.330133333333,0.3296,0.327,0.321,0.316133333333,0.3116,0.3056,0.3032,0.300866666667,0.298466666667,0.296133333333,0.2914,0.286466666667,0.284666666667,0.286466666667,0.291733333333,0.301133333333,0.316,0.324666666667,0.328066666667,0.333266666667,0.256933333333,0.260133333333,0.260666666667,0.264333333333,0.266666666667,0.265933333333,0.266933333333,0.263266666667,0.258666666667,0.252533333333,0.248266666667,0.245933333333,0.2444,0.2452,0.245,0.2434,0.242733333333,0.239866666667,0.2418,0.2456,0.245466666667,0.248133333333,0.2452,0.2484,0.2546,0.59,0.6,0.61,0.65,0.66,0.66,0.67,0.68,0.68,0.68,0.68,0.68,0.69,0.7,0.71,0.73,0.75,0.74,0.74,0.73,0.69,0.64,0.59,0.59,0.6,0.338466666667,0.337933333333,0.335866666667,0.331133333333,0.330133333333,0.3296,0.327,0.321,0.316133333333,0.3116,0.3056,0.3032,0.300866666667,0.298466666667,0.296133333333,0.2914,0.286466666667,0.284666666667,0.286466666667,0.291733333333,0.301133333333,0.316,0.287866666667,0.283,0.287733333333,0.6492,0.6464,0.6372,0.6268,0.6256,0.626666666667,0.609333333333,0.6028,0.603733333333,0.6064,0.602533333333,0.602533333333,0.612666666667,0.612133333333,0.614266666667,0.616533333333,0.6188,0.6256,0.6348,0.6372,0.642533333333,0.638933333333,0.6308,0.6308,0.636,0.1085,0.108,0.0915,0.066,0.091,0.0875,0.1035,0.081,0.0755,0.082,0.0755,0.0735,0.06,0.064,0.0545,0.0455,0.05,0.0845,0.101,0.0925,0.111,0.146,0.1835,0.233,0.2415,0.9997,0.9997,0.9997,0.7604,0.7904,0.9126,0.925,0.8851,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.5967,0.4542,0.6495,0.6495,0.794,0.823,0.8348,0.7423,0.788,0.9997,0.937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233333333333,0,0
0.27275,0.31075,0.3055,0.29975,0.26725,0.23,0.19725,0.18375,0.214,0.2025,0.16175,0.1255,0.06275,0.03675,0.01425,0.01025,0.025,0.016,0.0145,0.02075,0.073,0.0995,0.12175,0.13375,0.16,0.333266666667,0.334866666667,0.3288,0.3164,0.307066666667,0.300133333333,0.293133333333,0.2872,0.279333333333,0.270733333333,0.2608,0.252666666667,0.246,0.236666666667,0.228066666667,0.220933333333,0.217066666667,0.213866666667,0.219,0.2434,0.2692,0.289666666667,0.301733333333,0.313933333333,0.3204,0.2546,0.250733333333,0.246,0.239666666667,0.2302,0.223533333333,0.221266666667,0.2196,0.215533333333,0.208133333333,0.202733333333,0.1992,0.1936,0.190466666667,0.1878,0.184933333333,0.181666666667,0.1792,0.185933333333,0.2102,0.2234,0.2314,0.2378,0.243066666667,0.245066666667,0.6,0.58,0.58,0.6,0.6,0.6,0.62,0.63,0.65,0.65,0.67,0.69,0.7,0.72,0.75,0.78,0.78,0.78,0.79,0.8,0.73,0.68,0.65,0.62,0.61,0.287733333333,0.287066666667,0.282333333333,0.265733333333,0.266,0.258733333333,0.251733333333,0.246466666667,0.2384,0.229066666667,0.2608,0.252666666667,0.246,0.236666666667,0.228066666667,0.220933333333,0.217066666667,0.213866666667,0.219,0.2434,0.2692,0.289666666667,0.301733333333,0.313933333333,0.3204,0.636,0.6468,0.660933333333,0.674266666667,0.6932,0.715066666667,0.734933333333,0.7532,0.7656,0.7748,0.782666666667,0.792266666667,0.803066666667,0.810533333333,0.8176,0.824266666667,0.829333333333,0.8336,0.843866666667,0.851733333333,0.858133333333,0.852133333333,0.836933333333,0.830266666667,0.8188,0.2415,0.2585,0.243,0.2555,0.192,0.1885,0.1835,0.1765,0.172,0.17,0.14,0.116,0.069,0.0365,0.0245,0.013,0.024,0.0105,0.0075,0.008,0.0395,0.0885,0.105,0.127,0.148,0.937,0.9997,0.9431,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266666666667,0,0
0.16,0.18975,0.217,0.1675,0.1995,0.22925,0.2135,0.1625,0.13375,0.11775,0.10475,0.076,0.06575,0.04375,0.04075,0.05325,0.06475,0.099,0.14975,0.20525,0.2,0.26125,0.27975,0.31525,0.30975,0.3204,0.327733333333,0.329333333333,0.324533333333,0.324,0.325933333333,0.3228,0.316066666667,0.311333333333,0.309933333333,0.305533333333,0.2984,0.293733333333,0.289666666667,0.286266666667,0.287866666667,0.2968,0.3014,0.308066666667,0.323333333333,0.340733333333,0.3538,0.371066666667,0.38,0.3894,0.245066666667,0.246933333333,0.243533333333,0.241266666667,0.241866666667,0.2412,0.241666666667,0.239466666667,0.239866666667,0.241266666667,0.242,0.2402,0.239933333333,0.2398,0.238066666667,0.2426,0.247533333333,0.248266666667,0.252066666667,0.261733333333,0.263933333333,0.261,0.268266666667,0.268333333333,0.275333333333,0.61,0.59,0.57,0.58,0.58,0.57,0.58,0.6,0.62,0.63,0.65,0.68,0.7,0.72,0.72,0.74,0.72,0.7,0.69,0.67,0.61,0.55,0.52,0.49,0.48,0.3204,0.2942,0.329333333333,0.324533333333,0.2898,0.290133333333,0.291,0.316066666667,0.311333333333,0.309933333333,0.305533333333,0.2984,0.293733333333,0.289666666667,0.286266666667,0.287866666667,0.2968,0.3014,0.308066666667,0.290733333333,0.340733333333,0.312466666667,0.331866666667,0.338266666667,0.351266666667,0.8188,0.812,0.812666666667,0.812666666667,0.8112,0.809733333333,0.809066666667,0.813866666667,0.8196,0.819066666667,0.8124,0.811866666667,0.8144,0.822533333333,0.82,0.810666666667,0.819066666667,0.809333333333,0.806666666667,0.8068,0.8072,0.793066666667,0.774,0.752133333333,0.742533333333,0.148,0.17,0.148,0.126,0.1705,0.1795,0.159,0.1205,0.1245,0.0925,0.085,0.053,0.038,0.0415,0.0155,0.0265,0.058,0.0955,0.12,0.1625,0.149,0.237,0.2425,0.2735,0.2585,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0
