windGust0,windGust1,windGust2,windGust3,windGust4,windGust5,windGust6,windGust7,windGust8,windGust9,windGust10,windGust11,windGust12,windGust13,windGust14,windGust15,windGust16,windGust17,windGust18,windGust19,windGust20,windGust21,windGust22,windGust23,windGust24,temperature0,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,temperature8,temperature9,temperature10,temperature11,temperature12,temperature13,temperature14,temperature15,temperature16,temperature17,temperature18,temperature19,temperature20,temperature21,temperature22,temperature23,temperature24,dewPoint0,dewPoint1,dewPoint2,dewPoint3,dewPoint4,dewPoint5,dewPoint6,dewPoint7,dewPoint8,dewPoint9,dewPoint10,dewPoint11,dewPoint12,dewPoint13,dewPoint14,dewPoint15,dewPoint16,dewPoint17,dewPoint18,dewPoint19,dewPoint20,dewPoint21,dewPoint22,dewPoint23,dewPoint24,humidity0,humidity1,humidity2,humidity3,humidity4,humidity5,humidity6,humidity7,humidity8,humidity9,humidity10,humidity11,humidity12,humidity13,humidity14,humidity15,humidity16,humidity17,humidity18,humidity19,humidity20,humidity21,humidity22,humidity23,humidity24,apparentTemperature0,apparentTemperature1,apparentTemperature2,apparentTemperature3,apparentTemperature4,apparentTemperature5,apparentTemperature6,apparentTemperature7,apparentTemperature8,apparentTemperature9,apparentTemperature10,apparentTemperature11,apparentTemperature12,apparentTemperature13,apparentTemperature14,apparentTemperature15,apparentTemperature16,apparentTemperature17,apparentTemperature18,apparentTemperature19,apparentTemperature20,apparentTemperature21,apparentTemperature22,apparentTemperature23,apparentTemperature24,pressure0,pressure1,pressure2,pressure3,pressure4,pressure5,pressure6,pressure7,pressure8,pressure9,pressure10,pressure11,pressure12,pressure13,pressure14,pressure15,pressure16,pressure17,pressure18,pressure19,pressure20,pressure21,pressure22,pressure23,pressure24,windSpeed0,windSpeed1,windSpeed2,windSpeed3,windSpeed4,windSpeed5,windSpeed6,windSpeed7,windSpeed8,windSpeed9,windSpeed10,windSpeed11,windSpeed12,windSpeed13,windSpeed14,windSpeed15,windSpeed16,windSpeed17,windSpeed18,windSpeed19,windSpeed20,windSpeed21,windSpeed22,windSpeed23,windSpeed24,visibility0,visibility1,visibility2,visibility3,visibility4,visibility5,visibility6,visibility7,visibility8,visibility9,visibility10,visibility11,visibility12,visibility13,visibility14,visibility15,visibility16,visibility17,visibility18,visibility19,visibility20,visibility21,visibility22,visibility23,visibility24,precipIntensity0,precipIntensity1,precipIntensity2,precipIntensity3,precipIntensity4,precipIntensity5,precipIntensity6,precipIntensity7,precipIntensity8,precipIntensity9,precipIntensity10,precipIntensity11,precipIntensity12,precipIntensity13,precipIntensity14,precipIntensity15,precipIntensity16,precipIntensity17,precipIntensity18,precipIntensity19,precipIntensity20,precipIntensity21,precipIntensity22,precipIntensity23,precipIntensity24,precipProbability0,precipProbability1,precipProbability2,precipProbability3,precipProbability4,precipProbability5,precipProbability6,precipProbability7,precipProbability8,precipProbability9,precipProbability10,precipProbability11,precipProbability12,precipProbability13,precipProbability14,precipProbability15,precipProbability16,precipProbability17,precipProbability18,precipProbability19,precipProbability20,precipProbability21,precipProbability22,precipProbability23,precipProbability24,day,month,outcome
0.0775,0.07475,0.06075,0.04925,0.05675,0.04325,0.088,0.116,0.17625,0.23725,0.19625,0.18525,0.19075,0.20275,0.11325,0.125,0.09225,0.0975,0.1125,0.1735,0.152,0.1335,0.18925,0.219,0.143,0.2918,0.291666666667,0.288466666667,0.286333333333,0.283,0.283333333333,0.286866666667,0.29,0.2912,0.295066666667,0.297266666667,0.299933333333,0.299933333333,0.2966,0.299066666667,0.301333333333,0.307666666667,0.3082,0.3138,0.326,0.333133333333,0.348933333333,0.363733333333,0.368666666667,0.3736,0.179466666667,0.180533333333,0.180333333333,0.185533333333,0.187133333333,0.1916,0.1944,0.196666666667,0.196266666667,0.2008,0.210866666667,0.217533333333,0.227866666667,0.257333333333,0.267466666667,0.273,0.280266666667,0.284,0.286,0.2946,0.3036,0.318066666667,0.326466666667,0.326133333333,0.3304,0.46,0.47,0.48,0.5,0.52,0.53,0.53,0.53,0.52,0.53,0.56,0.57,0.62,0.77,0.81,0.83,0.84,0.85,0.83,0.82,0.83,0.82,0.79,0.76,0.76,0.2918,0.291666666667,0.288466666667,0.286333333333,0.283,0.283333333333,0.286866666667,0.29,0.241333333333,0.25,0.255533333333,0.252933333333,0.262466666667,0.253133333333,0.299066666667,0.301333333333,0.307666666667,0.3082,0.3138,0.326,0.333133333333,0.348933333333,0.3322,0.337,0.342133333333,0.730666666667,0.727066666667,0.72,0.708133333333,0.7136,0.709466666667,0.705333333333,0.6892,0.687866666667,0.6748,0.661466666667,0.655866666667,0.6372,0.6268,0.612133333333,0.6028,0.592266666667,0.590666666667,0.577333333333,0.569466666667,0.554666666667,0.538933333333,0.518533333333,0.500133333333,0.488133333333,0.0885,0.0665,0.045,0.0765,0.0515,0.0465,0.0985,0.128,0.225,0.2025,0.1875,0.2175,0.17,0.196,0.1205,0.083,0.093,0.08,0.098,0.1035,0.082,0.1035,0.1865,0.1915,0.195,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.8341,0.1406,0.3511,0.1424,0.0998,0.1411,0.2053,0.6006,0.7552,0.737,0.8366,0.8632,0.8744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.01,0.002,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.42,0.15,0.29,0,0,0,0,0,0,0.566666666667,0,0
0.291,0.27525,0.281,0.27,0.25125,0.27575,0.26375,0.25675,0.24875,0.2045,0.186,0.193,0.1275,0.12575,0.09075,0.04575,0.10375,0.14675,0.16475,0.2065,0.22725,0.252,0.28725,0.2955,0.233,0.3498,0.3482,0.340533333333,0.329933333333,0.327733333333,0.324133333333,0.323133333333,0.318466666667,0.315533333333,0.3116,0.306533333333,0.302666666667,0.3008,0.2982,0.298933333333,0.299,0.303266666667,0.304066666667,0.3068,0.315866666667,0.327133333333,0.338266666667,0.346133333333,0.3516,0.355333333333,0.2828,0.282733333333,0.277066666667,0.274133333333,0.272933333333,0.271333333333,0.268933333333,0.2648,0.264066666667,0.259533333333,0.257733333333,0.252466666667,0.25,0.250866666667,0.252933333333,0.254933333333,0.2588,0.261,0.262733333333,0.266533333333,0.2716,0.276733333333,0.281533333333,0.2876,0.291866666667,0.65,0.65,0.66,0.69,0.7,0.71,0.7,0.7,0.71,0.71,0.72,0.72,0.71,0.73,0.74,0.75,0.74,0.75,0.75,0.72,0.7,0.67,0.66,0.66,0.66,0.303933333333,0.301666666667,0.2884,0.2884,0.2814,0.274466666667,0.277866666667,0.2692,0.2748,0.273666666667,0.259866666667,0.267733333333,0.3008,0.2982,0.298933333333,0.299,0.303266666667,0.304066666667,0.274533333333,0.2708,0.2856,0.293466666667,0.307866666667,0.304266666667,0.3172,0.395466666667,0.398133333333,0.402533333333,0.406666666667,0.414933333333,0.4228,0.426666666667,0.426933333333,0.4296,0.430933333333,0.427466666667,0.426133333333,0.426666666667,0.427466666667,0.426266666667,0.4248,0.426133333333,0.4288,0.430266666667,0.4336,0.431466666667,0.4248,0.413866666667,0.4028,0.396,0.2635,0.267,0.298,0.214,0.2405,0.2585,0.2295,0.2495,0.197,0.18,0.221,0.1605,0.138,0.125,0.137,0.0345,0.0735,0.103,0.1515,0.221,0.211,0.242,0.21,0.277,0.2175,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.8731,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9433,0.8712,0.6726,0.9997,0.9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333333,0,0
0.37075,0.38175,0.30375,0.26275,0.23375,0.1185,0.05575,0.0215,0.01675,0.0245,0.036,0.06775,0.0995,0.0805,0.09225,0.086,0.09425,0.1005,0.13875,0.15575,0.177,0.21575,0.2725,0.33125,0.3095,0.427,0.428133333333,0.425066666667,0.4216,0.413933333333,0.4072,0.395266666667,0.383666666667,0.3784,0.374466666667,0.3732,0.380466666667,0.384333333333,0.3818,0.381666666667,0.3838,0.382333333333,0.383466666667,0.405,0.434666666667,0.466466666667,0.4948,0.517666666667,0.531333333333,0.5398,0.322133333333,0.3238,0.3322,0.3358,0.335866666667,0.3382,0.336666666667,0.3356,0.3348,0.334266666667,0.334466666667,0.337,0.336466666667,0.330066666667,0.327466666667,0.326466666667,0.327,0.3278,0.340133333333,0.348866666667,0.3558,0.3606,0.3604,0.362733333333,0.369266666667,0.52,0.52,0.56,0.59,0.62,0.65,0.69,0.74,0.76,0.78,0.78,0.76,0.74,0.72,0.71,0.7,0.71,0.7,0.67,0.59,0.51,0.45,0.39,0.37,0.37,0.3882,0.391333333333,0.393333333333,0.3936,0.389933333333,0.4072,0.395266666667,0.383666666667,0.3784,0.374466666667,0.3732,0.380466666667,0.384333333333,0.3818,0.381666666667,0.3838,0.382333333333,0.383466666667,0.405,0.434666666667,0.450933333333,0.480666666667,0.501666666667,0.515333333333,0.5398,0.5264,0.5344,0.5452,0.559333333333,0.5776,0.5896,0.603466666667,0.614266666667,0.619466666667,0.623866666667,0.633733333333,0.641733333333,0.6432,0.640533333333,0.647066666667,0.653466666667,0.661066666667,0.667733333333,0.674666666667,0.678533333333,0.676933333333,0.6772,0.675866666667,0.665733333333,0.662533333333,0.331,0.3125,0.2585,0.223,0.1865,0.092,0.0355,0.021,0.016,0.013,0.0265,0.0395,0.0685,0.0355,0.0735,0.049,0.063,0.061,0.1285,0.1405,0.1815,0.2055,0.2665,0.3015,0.3015,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.866666666667,0.0909090909091,0
0.4585,0.3695,0.41,0.37275,0.37425,0.42425,0.3995,0.2035,0.307,0.17275,0.197,0.31025,0.17075,0.18975,0.0875,0.08525,0.09175,0.12025,0.2165,0.226,0.102,0.2055,0.237,0.187,0.28025,0.736666666667,0.734733333333,0.726666666667,0.727266666667,0.7246,0.715,0.7062,0.688333333333,0.682133333333,0.677733333333,0.6734,0.665,0.652333333333,0.642133333333,0.633666666667,0.631,0.6238,0.631733333333,0.665666666667,0.681333333333,0.704533333333,0.724466666667,0.740066666667,0.745133333333,0.765266666667,0.612266666667,0.608,0.615266666667,0.6208,0.627666666667,0.624666666667,0.625,0.626466666667,0.6262,0.625466666667,0.620266666667,0.609,0.6028,0.600466666667,0.598933333333,0.5932,0.591933333333,0.595133333333,0.605533333333,0.6084,0.608866666667,0.611666666667,0.6132,0.6098,0.612,0.53,0.52,0.57,0.58,0.61,0.63,0.66,0.73,0.75,0.76,0.76,0.75,0.77,0.8,0.83,0.82,0.84,0.82,0.73,0.68,0.61,0.56,0.52,0.5,0.46,0.743933333333,0.741533333333,0.7284,0.729533333333,0.727533333333,0.7176,0.7088,0.691333333333,0.6852,0.680733333333,0.675866666667,0.666266666667,0.653066666667,0.6428,0.634466666667,0.631066666667,0.623933333333,0.632066666667,0.666466666667,0.682266666667,0.705466666667,0.7258,0.747,0.7504,0.7686,0.435866666667,0.438933333333,0.4332,0.4348,0.435066666667,0.440533333333,0.4512,0.459066666667,0.470933333333,0.479866666667,0.484933333333,0.486266666667,0.487733333333,0.4904,0.4916,0.495866666667,0.499733333333,0.508666666667,0.516933333333,0.5212,0.517333333333,0.5156,0.511866666667,0.507866666667,0.502666666667,0.5235,0.54,0.395,0.421,0.3455,0.5355,0.3665,0.2995,0.31,0.308,0.3105,0.3135,0.226,0.141,0.113,0.0595,0.1085,0.163,0.1785,0.2265,0.149,0.1915,0.1765,0.1825,0.257,1,1,1,1,1,0.9923,0.9774,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9815,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.545454545455,0
0.38025,0.33625,0.32925,0.20725,0.279,0.2825,0.2465,0.25875,0.3175,0.394,0.41575,0.273,0.29825,0.3375,0.43675,0.3075,0.2325,0.23375,0.186,0.171,0.23875,0.15875,0.17075,0.0995,0.206,0.528533333333,0.5224,0.513733333333,0.5104,0.513733333333,0.511866666667,0.510333333333,0.504933333333,0.489066666667,0.463066666667,0.436066666667,0.4234,0.408733333333,0.3872,0.3724,0.359666666667,0.3498,0.338866666667,0.334133333333,0.3344,0.339066666667,0.3536,0.365533333333,0.3752,0.3828,0.473133333333,0.4834,0.490133333333,0.4914,0.498066666667,0.4986,0.497666666667,0.496133333333,0.463933333333,0.423933333333,0.406533333333,0.3866,0.369266666667,0.337666666667,0.3166,0.2952,0.2828,0.271666666667,0.267333333333,0.271866666667,0.277333333333,0.2778,0.281933333333,0.283866666667,0.281866666667,0.73,0.8,0.87,0.9,0.92,0.93,0.93,0.95,0.86,0.79,0.84,0.8,0.78,0.73,0.7,0.66,0.65,0.65,0.65,0.66,0.67,0.61,0.58,0.56,0.52,0.502666666667,0.5014,0.497266666667,0.4942,0.4984,0.493866666667,0.492133333333,0.487066666667,0.463266666667,0.422,0.393466666667,0.389666666667,0.367733333333,0.333666666667,0.313733333333,0.3112,0.296,0.282533333333,0.2878,0.291866666667,0.292466666667,0.318133333333,0.3358,0.3506,0.337466666667,0.452,0.4468,0.441466666667,0.445333333333,0.441466666667,0.445333333333,0.4468,0.457466666667,0.463866666667,0.483866666667,0.506666666667,0.5268,0.5584,0.581466666667,0.600133333333,0.617066666667,0.636,0.654666666667,0.672266666667,0.678666666667,0.695866666667,0.706666666667,0.704,0.6972,0.68,0.464,0.351,0.2635,0.253,0.25,0.2795,0.2775,0.262,0.322,0.464,0.3975,0.2735,0.316,0.401,0.4225,0.2985,0.327,0.33,0.248,0.224,0.2555,0.2005,0.178,0.1585,0.309,0.9636,0.7002,0.8521,0.6279,0.7251,0.7002,0.7002,0.436,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9495,0.9679,0.9997,0.9997,0.9997,0.9997,0.9997,0.002,0.012,0.028,0.04,0.044,0.018,0.022,0.014,0.014,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.49,0.52,0.76,0.93,0.54,0.54,0.42,0.41,0.27,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.0909090909091,0
0.26575,0.26925,0.1715,0.1735,0.16675,0.21225,0.334,0.284,0.388,0.2945,0.3135,0.29775,0.253,0.30925,0.28875,0.31875,0.32675,0.35375,0.388,0.33825,0.25275,0.2905,0.22375,0.18275,0.1755,0.478133333333,0.480733333333,0.477866666667,0.4638,0.4264,0.4242,0.416,0.411466666667,0.409266666667,0.400466666667,0.394733333333,0.390066666667,0.384333333333,0.3828,0.378333333333,0.3734,0.370466666667,0.366533333333,0.373066666667,0.384333333333,0.4008,0.414733333333,0.4294,0.4386,0.443933333333,0.344933333333,0.342533333333,0.342466666667,0.3646,0.3952,0.384,0.372466666667,0.363333333333,0.333266666667,0.317466666667,0.312466666667,0.309266666667,0.312466666667,0.311733333333,0.310333333333,0.307733333333,0.301933333333,0.295466666667,0.301,0.3086,0.315533333333,0.3216,0.327066666667,0.3286,0.3282,0.45,0.43,0.44,0.55,0.83,0.78,0.77,0.74,0.62,0.59,0.6,0.6,0.63,0.64,0.65,0.66,0.65,0.63,0.63,0.62,0.59,0.56,0.53,0.51,0.49,0.463733333333,0.470866666667,0.477866666667,0.4638,0.4264,0.404866666667,0.385133333333,0.3826,0.376266666667,0.375,0.3578,0.361066666667,0.352133333333,0.353466666667,0.344533333333,0.334066666667,0.3326,0.326266666667,0.33,0.343733333333,0.373466666667,0.386666666667,0.407133333333,0.4386,0.443933333333,0.578933333333,0.575866666667,0.573466666667,0.506666666667,0.598533333333,0.6104,0.6188,0.6256,0.636,0.652266666667,0.661466666667,0.6652,0.676,0.672266666667,0.683866666667,0.7012,0.718533333333,0.734933333333,0.749733333333,0.764,0.773333333333,0.780266666667,0.7772,0.773333333333,0.767866666667,0.186,0.1555,0.1445,0.147,0.111,0.1665,0.238,0.2165,0.246,0.183,0.257,0.195,0.21,0.19,0.214,0.2465,0.2325,0.2445,0.2745,0.2715,0.1945,0.215,0.1905,0.1455,0.142,0.9997,0.9997,0.9997,0.805,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.181818181818,0
0.09775,0.08075,0.062,0.04325,0.04675,0.04125,0.0505,0.056,0.0335,0.04375,0.05825,0.042,0.043,0.02975,0.0365,0.02475,0.06175,0.05925,0.0645,0.085,0.0995,0.1215,0.1765,0.21825,0.20925,0.426733333333,0.4332,0.4334,0.431533333333,0.430066666667,0.432466666667,0.430866666667,0.432866666667,0.435733333333,0.435266666667,0.4414,0.440066666667,0.442066666667,0.440866666667,0.444133333333,0.446466666667,0.450333333333,0.4506,0.453933333333,0.462,0.4734,0.485666666667,0.4966,0.513733333333,0.527066666667,0.374066666667,0.3944,0.396,0.397333333333,0.397466666667,0.399933333333,0.404066666667,0.406666666667,0.408066666667,0.4086,0.416,0.414,0.413666666667,0.4124,0.416466666667,0.419066666667,0.420933333333,0.422266666667,0.425533333333,0.433,0.4396,0.445,0.4472,0.449733333333,0.447066666667,0.73,0.79,0.8,0.81,0.82,0.82,0.85,0.85,0.85,0.85,0.86,0.86,0.84,0.84,0.85,0.85,0.84,0.84,0.84,0.84,0.82,0.79,0.75,0.69,0.63,0.403266666667,0.4332,0.4334,0.431533333333,0.430066666667,0.432466666667,0.430866666667,0.432866666667,0.435733333333,0.435266666667,0.4414,0.440066666667,0.442066666667,0.440866666667,0.444133333333,0.446466666667,0.450333333333,0.4506,0.453933333333,0.462,0.4734,0.485666666667,0.4874,0.504466666667,0.5208,0.530666666667,0.518533333333,0.516133333333,0.514533333333,0.506666666667,0.506666666667,0.506666666667,0.501333333333,0.501333333333,0.496133333333,0.481466666667,0.478666666667,0.476,0.476,0.472,0.4668,0.468,0.461466666667,0.455866666667,0.455866666667,0.449333333333,0.438666666667,0.424,0.404,0.391866666667,0.1955,0.0645,0.0385,0.036,0.0305,0.028,0.035,0.045,0.0175,0.0195,0.047,0.0275,0.049,0.037,0.044,0.0285,0.0595,0.0515,0.0555,0.0585,0.088,0.1195,0.1665,0.188,0.1785,0.9997,0.9997,0.9408,0.9408,0.8535,0.6731,0.6335,0.696,0.5824,0.3565,0.6812,0.4425,0.7002,0.9342,0.7345,0.7691,0.7345,0.9267,0.8725,0.7352,0.9342,0.9997,0.9997,0.9997,0.9997,0,0,0.004,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0,0,0.28,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.09,0.09,0.6,1,0
0.51225,0.577,0.706,0.659,0.6415,0.5505,0.45475,0.3205,0.31225,0.29425,0.18825,0.168,0.17275,0.12225,0.2135,0.10575,0.17175,0.13175,0.154,0.1545,0.1415,0.09025,0.06275,0.045,0.0785,0.213266666667,0.225666666667,0.2236,0.2212,0.216933333333,0.211466666667,0.205466666667,0.204333333333,0.196866666667,0.187466666667,0.194733333333,0.206333333333,0.212333333333,0.2102,0.2092,0.203533333333,0.203066666667,0.1938,0.193266666667,0.2186,0.240533333333,0.259866666667,0.276933333333,0.299933333333,0.3172,0.124466666667,0.130666666667,0.127466666667,0.1286,0.116466666667,0.1056,0.112933333333,0.106733333333,0.102533333333,0.099,0.109,0.1136,0.128066666667,0.122,0.1212,0.121866666667,0.1172,0.112666666667,0.111666666667,0.1284,0.149733333333,0.163266666667,0.1678,0.1708,0.178733333333,0.53,0.51,0.5,0.51,0.48,0.46,0.51,0.49,0.5,0.52,0.54,0.51,0.55,0.53,0.53,0.55,0.54,0.55,0.55,0.52,0.53,0.51,0.47,0.41,0.39,0.095,0.0961333333333,0.0975333333333,0.104466666667,0.0974666666667,0.0930666666667,0.104066666667,0.106333333333,0.0773333333333,0.0712666666667,0.102666666667,0.206333333333,0.128466666667,0.142933333333,0.1136,0.142133333333,0.117466666667,0.12,0.1114,0.141533333333,0.177466666667,0.214266666667,0.276933333333,0.299933333333,0.285,0.570266666667,0.576133333333,0.596666666667,0.612266666667,0.6372,0.656933333333,0.672266666667,0.679466666667,0.690266666667,0.702933333333,0.7192,0.736133333333,0.7484,0.756533333333,0.769466666667,0.781866666667,0.803733333333,0.823333333333,0.826933333333,0.8412,0.848,0.850133333333,0.8392,0.8396,0.831866666667,0.659,0.8535,0.7955,0.666,0.6855,0.6555,0.469,0.4375,0.6245,0.5645,0.3765,0.1185,0.3455,0.2445,0.427,0.2115,0.3435,0.2635,0.308,0.309,0.25,0.1805,0.1255,0.09,0.157,0.926,1,1,1,1,0.9257,0.7604,0.8896,0.9564,0.9435,0.9707,0.9845,1,0.9833,0.9461,0.9391,0.9767,0.9825,1,0.9877,0.6869,0.6752,0.8732,0.966,0.9501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,2
0.57475,0.56875,0.585,0.5725,0.49975,0.4095,0.42875,0.40975,0.44325,0.4525,0.368,0.29825,0.30175,0.2955,0.29175,0.3255,0.279,0.3385,0.353,0.325,0.397,0.3325,0.314,0.29275,0.242,0.362066666667,0.356866666667,0.344133333333,0.328533333333,0.3144,0.3126,0.309733333333,0.308466666667,0.3058,0.300133333333,0.295933333333,0.290133333333,0.2868,0.2834,0.279533333333,0.2788,0.2758,0.272,0.2782,0.290333333333,0.3044,0.313733333333,0.331066666667,0.3496,0.3616,0.2772,0.268466666667,0.264266666667,0.2452,0.222666666667,0.216466666667,0.218533333333,0.220933333333,0.208933333333,0.199733333333,0.202,0.200533333333,0.2028,0.2016,0.201066666667,0.2014,0.202066666667,0.201266666667,0.2022,0.205333333333,0.2102,0.2162,0.2264,0.237466666667,0.2452,0.58,0.56,0.59,0.58,0.54,0.52,0.54,0.56,0.52,0.51,0.53,0.54,0.56,0.57,0.58,0.59,0.6,0.62,0.59,0.56,0.53,0.52,0.5,0.48,0.47,0.299933333333,0.2898,0.278133333333,0.258066666667,0.256533333333,0.248066666667,0.248533333333,0.2464,0.2476,0.238066666667,0.239733333333,0.240333333333,0.237533333333,0.2324,0.233133333333,0.226933333333,0.216933333333,0.219666666667,0.215533333333,0.234066666667,0.241066666667,0.2624,0.279,0.308933333333,0.328666666667,0.4064,0.4196,0.433333333333,0.457466666667,0.487466666667,0.5044,0.515733333333,0.5256,0.538666666667,0.554666666667,0.570933333333,0.5816,0.592266666667,0.598666666667,0.605733333333,0.6188,0.624933333333,0.638533333333,0.645066666667,0.636533333333,0.629066666667,0.637333333333,0.628666666667,0.633866666667,0.612933333333,0.4365,0.4795,0.434,0.444,0.304,0.354,0.3225,0.3275,0.294,0.3145,0.268,0.2235,0.2175,0.224,0.1975,0.225,0.2625,0.221,0.289,0.262,0.3305,0.257,0.284,0.2285,0.193,0.8239,0.9997,0.63,0.6306,0.913,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633333333333,0.0909090909091,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496266666667,0.493733333333,0.487066666667,0.477533333333,0.466666666667,0.455733333333,0.4458,0.437333333333,0.430266666667,0.4242,0.4188,0.413666666667,0.409,0.405266666667,0.403333333333,0.4042,0.408533333333,0.4168,0.428666666667,0.443,0.458333333333,0.472666666667,0.484266666667,0.491666666667,0.494066666667,0.3898,0.3892,0.388866666667,0.388866666667,0.389066666667,0.3894,0.389466666667,0.389066666667,0.388,0.386333333333,0.3842,0.382,0.38,0.378733333333,0.378333333333,0.378866666667,0.380333333333,0.3824,0.3846,0.3866,0.388,0.388733333333,0.3888,0.388333333333,0.387666666667,0.53,0.54,0.56,0.59,0.63,0.67,0.71,0.75,0.77,0.79,0.81,0.82,0.84,0.85,0.86,0.86,0.84,0.81,0.77,0.71,0.66,0.61,0.57,0.54,0.53,0.4594,0.457066666667,0.450266666667,0.440466666667,0.429266666667,0.418266666667,0.4082,0.399533333333,0.392133333333,0.385733333333,0.379933333333,0.3746,0.3698,0.366066666667,0.364133333333,0.364666666667,0.3684,0.375866666667,0.387,0.4012,0.416933333333,0.432333333333,0.445133333333,0.4536,0.456666666667,0.5624,0.5596,0.5592,0.5612,0.564933333333,0.569333333333,0.573466666667,0.576266666667,0.577333333333,0.5768,0.575066666667,0.5732,0.572133333333,0.572266666667,0.574266666667,0.577466666667,0.581333333333,0.5848,0.586933333333,0.586666666667,0.584133333333,0.579466666667,0.573466666667,0.567466666667,0.5624,0.5305,0.5145,0.4875,0.4535,0.4185,0.387,0.3615,0.3425,0.33,0.3215,0.314,0.307,0.299,0.2925,0.2895,0.2935,0.3075,0.332,0.3665,0.408,0.4505,0.489,0.518,0.5325,0.5315,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.008,0.008,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.25,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.8,0.909090909091,0
