windGust0,windGust1,windGust2,windGust3,windGust4,windGust5,windGust6,windGust7,windGust8,windGust9,windGust10,windGust11,windGust12,windGust13,windGust14,windGust15,windGust16,windGust17,windGust18,windGust19,windGust20,windGust21,windGust22,windGust23,windGust24,temperature0,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,temperature8,temperature9,temperature10,temperature11,temperature12,temperature13,temperature14,temperature15,temperature16,temperature17,temperature18,temperature19,temperature20,temperature21,temperature22,temperature23,temperature24,dewPoint0,dewPoint1,dewPoint2,dewPoint3,dewPoint4,dewPoint5,dewPoint6,dewPoint7,dewPoint8,dewPoint9,dewPoint10,dewPoint11,dewPoint12,dewPoint13,dewPoint14,dewPoint15,dewPoint16,dewPoint17,dewPoint18,dewPoint19,dewPoint20,dewPoint21,dewPoint22,dewPoint23,dewPoint24,humidity0,humidity1,humidity2,humidity3,humidity4,humidity5,humidity6,humidity7,humidity8,humidity9,humidity10,humidity11,humidity12,humidity13,humidity14,humidity15,humidity16,humidity17,humidity18,humidity19,humidity20,humidity21,humidity22,humidity23,humidity24,apparentTemperature0,apparentTemperature1,apparentTemperature2,apparentTemperature3,apparentTemperature4,apparentTemperature5,apparentTemperature6,apparentTemperature7,apparentTemperature8,apparentTemperature9,apparentTemperature10,apparentTemperature11,apparentTemperature12,apparentTemperature13,apparentTemperature14,apparentTemperature15,apparentTemperature16,apparentTemperature17,apparentTemperature18,apparentTemperature19,apparentTemperature20,apparentTemperature21,apparentTemperature22,apparentTemperature23,apparentTemperature24,pressure0,pressure1,pressure2,pressure3,pressure4,pressure5,pressure6,pressure7,pressure8,pressure9,pressure10,pressure11,pressure12,pressure13,pressure14,pressure15,pressure16,pressure17,pressure18,pressure19,pressure20,pressure21,pressure22,pressure23,pressure24,windSpeed0,windSpeed1,windSpeed2,windSpeed3,windSpeed4,windSpeed5,windSpeed6,windSpeed7,windSpeed8,windSpeed9,windSpeed10,windSpeed11,windSpeed12,windSpeed13,windSpeed14,windSpeed15,windSpeed16,windSpeed17,windSpeed18,windSpeed19,windSpeed20,windSpeed21,windSpeed22,windSpeed23,windSpeed24,visibility0,visibility1,visibility2,visibility3,visibility4,visibility5,visibility6,visibility7,visibility8,visibility9,visibility10,visibility11,visibility12,visibility13,visibility14,visibility15,visibility16,visibility17,visibility18,visibility19,visibility20,visibility21,visibility22,visibility23,visibility24,precipIntensity0,precipIntensity1,precipIntensity2,precipIntensity3,precipIntensity4,precipIntensity5,precipIntensity6,precipIntensity7,precipIntensity8,precipIntensity9,precipIntensity10,precipIntensity11,precipIntensity12,precipIntensity13,precipIntensity14,precipIntensity15,precipIntensity16,precipIntensity17,precipIntensity18,precipIntensity19,precipIntensity20,precipIntensity21,precipIntensity22,precipIntensity23,precipIntensity24,precipProbability0,precipProbability1,precipProbability2,precipProbability3,precipProbability4,precipProbability5,precipProbability6,precipProbability7,precipProbability8,precipProbability9,precipProbability10,precipProbability11,precipProbability12,precipProbability13,precipProbability14,precipProbability15,precipProbability16,precipProbability17,precipProbability18,precipProbability19,precipProbability20,precipProbability21,precipProbability22,precipProbability23,precipProbability24,day,month,outcome
1.8,1.67,1.37,2.68,2.86,2.98,2.67,3.16,2.59,3.05,3.21,1.9,1.01,1.04,0.54,0.27,0.42,0.22,0.42,0.34,0.52,0.89,0.43,1,0.88,34.4,33.63,33.01,33.03,33.06,33.24,33.56,33.52,33.46,33.48,33.46,33.52,33.55,33.53,33.49,33.49,33.58,33.52,33.62,34.02,34.39,35.2,35.68,35.79,36.13,25.87,27.34,28.85,29.56,29.96,30.21,30.42,30.71,30.77,30.87,30.99,31,31.05,31.13,31,31.01,31.11,31.06,31.33,31.73,31.93,32.55,33.02,33.15,33.6,0.71,0.77,0.85,0.87,0.88,0.88,0.88,0.89,0.9,0.9,0.91,0.9,0.9,0.91,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.9,0.9,0.9,0.9,34.4,33.63,33.01,33.03,33.06,33.24,33.56,33.52,33.46,33.48,33.46,33.52,33.55,33.53,33.49,33.49,33.58,33.52,33.62,34.02,34.39,35.2,35.68,35.79,36.13,1020.91,1020.41,1020.21,1020.09,1018.99,1018.8,1018.49,1017.71,1017.1,1016.88,1015.92,1014.9,1014.7,1014.29,1014.02,1014.2,1014.02,1014.39,1014.9,1015.09,1015.29,1015.09,1014.9,1015.09,1015.19,0.36,0.57,0.12,0.87,0.65,0.63,0.72,0.84,0.64,0.89,0.69,0.4,0.31,0.41,0.09,0,0.11,0.01,0,0,0.01,0.19,0.13,0.06,0.2,9.997,7.002,2.529,2.189,2.689,2.692,3.457,4.2,3.457,3.383,5.617,5.617,2.81,2.5,2.191,1.536,1.69,1.69,1.154,1,0.998,0.998,1.249,1.093,1.002,0,0.004,0.028,0.073,0.077,0.057,0.037,0.017,0.032,0.017,0.024,0.01,0.003,0.006,0.007,0.006,0.003,0.002,0.002,0.002,0.004,0.006,0.005,0.004,0.006,0,0.62,0.92,0.96,0.95,0.94,0.87,0.83,0.81,0.83,0.81,0.86,0.52,0.74,0.67,0.68,0.4,0.39,0.19,0.37,0.73,0.55,0.41,0.38,0.61,18,1,2
2.58,2.91,2.15,1.68,0.97,0.43,0.19,0.14,0.14,0.11,0.08,0.21,0.84,4.78,5.38,6.96,13.82,18.85,18.9,18.85,19.5,19.23,22.13,20.28,19.87,28.04,28.12,28.43,28.92,28.72,28.65,28.11,28.28,28.62,29.05,29.65,29.85,29.63,30.85,30.95,30.68,28.9,25.54,23.94,24.4,25.84,27.53,29.08,29.67,30.02,24.54,24.78,25.02,25.46,25.47,25.58,25.49,25.64,26.12,26.55,27.22,27.38,27.33,27.95,27.42,26.25,23.76,19.02,16.68,16.72,17,17.22,17.89,17.61,17.22,0.86,0.87,0.87,0.87,0.87,0.88,0.9,0.9,0.9,0.9,0.91,0.9,0.91,0.89,0.87,0.83,0.81,0.76,0.73,0.72,0.69,0.65,0.63,0.6,0.59,28.04,28.12,28.43,28.92,28.72,28.65,28.11,28.28,28.62,29.05,29.65,29.85,29.63,30.85,30.95,27.62,23.35,16.79,14.51,15.45,17.21,19.4,20.85,22.24,22.32,1011.11,1009.31,1007.7,1007.8,1008.4,1007,1006,1004.81,1003.7,1002.5,1001.71,1001.2,1001.5,1001.5,1001.5,1002,1003.2,1005.21,1006.7,1007.9,1009.01,1009.7,1010.1,1010.4,1011,0.84,1.1,0.71,0.3,0.18,0.06,0.04,0,0,0.07,0,0.18,0.64,2.17,2.83,3.15,5.09,8.28,8.76,8.21,8.19,8,8.69,7.66,8.17,0.405,0.404,0.404,0.25,0.727,0.882,1.458,1.229,1.038,3.297,4.534,5.617,7.002,9.997,9.997,9.38,8.85,4.382,8.109,10,8.109,8.866,9.997,8.85,9.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,2
3.43,1.82,0.76,0.39,0.06,0.22,0.12,0,0.13,0,0.07,0.42,0.27,0.21,0.28,0.55,0.41,0.44,0.32,0.37,1.06,2.36,4.98,4.82,7.71,29.48,29.96,29.18,28.59,28.01,27.7,27.6,27.32,27.24,27.01,26.97,26.71,26.47,26.28,26.42,26.21,26.22,26.15,26.13,26.84,27.51,27.87,25.98,24,23.63,23.33,23.87,24.16,24.65,24.35,24.52,24.85,24.48,24.53,24.43,24.35,24.17,23.87,23.78,23.79,23.61,23.32,23.47,23.26,24.13,24.9,24.62,22.61,20.16,18.96,0.78,0.78,0.81,0.85,0.86,0.88,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.9,0.87,0.87,0.85,0.82,29.48,29.96,29.18,28.59,28.01,27.7,27.6,27.32,27.24,27.01,26.97,26.71,26.47,26.28,26.42,26.21,26.22,26.15,26.13,26.84,27.51,27.87,25.98,24,19.18,1030.4,1030.29,1030.51,1030.51,1030.18,1030.4,1029.91,1030.01,1029.91,1029.53,1029,1028.42,1028.21,1028.11,1027.59,1027.09,1027.09,1026.89,1026.69,1026.69,1026.49,1026.39,1025.51,1024.61,1024.1,0.98,0.44,0.04,0,0,0,0,0,0.04,0,0,0.09,0.09,0.08,0.22,0.31,0.1,0.28,0.27,0.23,0.54,0.87,1.98,1.88,3.43,5.301,6.863,1.81,2,2.443,2.223,1.438,1.187,1.094,0.998,1.094,1.038,1.038,1.19,1.595,1.882,2.692,2.5,2.287,1.282,1.532,1.498,0.807,1.721,1.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,2
4.96,4.93,3.37,1.51,0.76,1.09,0.91,0.94,1.41,0.92,1.23,1.49,2.6,3.16,3.31,4.69,5.55,3.5,3.89,6.83,10.74,14.83,18.84,21.62,21.23,17.73,17.97,17.47,16.22,15.69,14.18,12.62,11.51,10.72,10.99,10.48,9.92,11.45,12.9,13.57,13.64,14.33,13.73,13.04,16.22,18.64,19.38,19.65,19.32,17.99,11.8,11.37,10.47,9.99,10.13,9.31,7.98,7.28,6.6,6.97,6.43,6.18,7.21,8.48,8.68,8.58,8.9,7.75,7.17,8.66,8.37,9.51,8.63,1.67,-1.73,0.77,0.75,0.74,0.76,0.78,0.81,0.81,0.83,0.83,0.83,0.83,0.85,0.83,0.82,0.8,0.8,0.79,0.77,0.77,0.72,0.64,0.65,0.62,0.46,0.41,17.73,17.97,17.47,16.22,15.69,14.18,12.62,11.51,10.72,10.99,10.48,9.92,11.45,12.9,13.57,13.64,14.33,13.73,13.04,16.22,13.48,11.62,9.8,8.46,7.83,1020.91,1020.01,1019.49,1019.3,1018.91,1018.12,1017.6,1017.71,1017.2,1016.09,1014.9,1013.41,1013.2,1013.29,1012.51,1011.61,1010.8,1010.7,1010.9,1011.11,1010.8,1010.9,1011.11,1012.01,1013.29,2.02,2.07,0.92,0.35,0.13,0.16,0.15,0.39,0.18,0.32,0.45,0.55,1.22,1.51,1.4,1.48,2.61,1.5,1.34,2.57,3.44,5.59,8.01,9.3,7.94,4.441,4.168,6.985,9.717,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2
3.83,1.99,0.83,0.4,0.24,0.75,0.31,0.46,0.15,0.46,0.29,0.57,0.28,0.07,0.2,0.66,0.47,0.54,0.53,1.2,2.52,6.6,5.01,8.63,9.05,25.95,25.71,24.99,23.38,21.44,20.1,18.92,18.31,18.07,18.71,19.34,19.83,20.07,20.3,20.45,20.13,20.06,19.96,20.15,20.6,22.14,23.56,24.18,25.88,26.73,17.73,18.29,18.37,18.19,17.53,16.54,16.07,15.23,15.36,16.2,16.72,17.05,17.47,17.35,17.59,17.19,17.31,17.19,17.43,17.66,17.92,18.16,17.81,17.91,17.92,0.71,0.73,0.76,0.8,0.85,0.86,0.88,0.88,0.89,0.9,0.89,0.89,0.89,0.88,0.88,0.88,0.89,0.89,0.89,0.88,0.84,0.8,0.76,0.71,0.69,25.95,25.71,24.99,23.38,21.44,20.1,18.92,18.31,18.07,18.71,19.34,19.83,20.07,20.3,20.45,20.13,20.06,19.96,20.15,20.6,22.14,23.56,19.74,21.64,22.41,1017.2,1016.6,1015.72,1015.52,1015.09,1014.39,1013.59,1012.51,1011.5,1010.5,1009.7,1008.51,1013,1005.4,1003.6,1002.7,1002.4,1001.8,1001.6,1002,1002,1002,1001.5,1001.1,1001.4,2,0.89,0.83,0.03,0,0,0,0,0,0,0,0,0,0,0.2,0.52,0.13,0.16,0.09,0.32,1.03,2.38,3.48,3.52,3.66,9.997,9.997,9.997,9.997,9.997,8.488,9.243,9.997,9.243,8.488,1.249,0.998,0.998,0.752,0.752,0.752,0.752,0.752,0.998,7.995,9.997,9.997,9.997,9.997,9.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,2
15.13,15.96,14.79,14.71,14.12,12.66,11.56,11.79,12.82,16.13,16.22,17.05,13.3,13.05,14.32,12.83,11.77,11.21,12,13.64,14.55,14.56,16.21,17.13,18.13,22.27,23.26,23.47,23.58,23.84,23.97,23.83,22.07,19.67,17.48,17.01,16.57,15.89,15.06,14.11,13.41,13.29,13.31,14.11,15.97,17.84,19.73,21.17,22.19,22.49,19.21,20.02,20.6,20.78,21.24,21.21,20.99,18.91,16.26,13.93,13.09,11.86,11.2,9.94,8.68,7.72,7.34,7.64,8.53,10.03,10.73,11.64,11.85,11.45,11.5,0.88,0.87,0.89,0.89,0.9,0.89,0.89,0.87,0.86,0.86,0.84,0.81,0.81,0.8,0.79,0.78,0.77,0.78,0.78,0.77,0.73,0.7,0.67,0.63,0.62,14.42,14.57,15.66,16.32,16.11,17.21,17.31,15.1,12.23,8.58,7.2,6.1,7.1,5.68,4.72,5.07,4.41,5.68,5.83,7.11,9.11,11.35,12.61,13.66,13.69,1001.3,998.9,997,996.21,995.21,994.81,994.5,995.1,995.9,996.3,996.8,997.3,997.8,997.5,997.1,997.3,998,998.3,998.7,999.21,999.1,999,999.1,999.4,999.3,6.24,7.5,6.46,5.88,6.46,5.42,5.16,5.3,5.33,6.36,7.27,7.94,5.94,6.37,6.19,5.14,5.58,4.56,5.19,6.03,6.25,6.27,6.8,7,7.43,0.25,0.25,0.25,0.25,0.5,0.5,1.249,1.498,1.75,1.498,2,6.001,9.997,9.997,8.85,9.997,9.997,7.319,3.851,6.701,6.935,8.996,6.001,7.002,7.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,15,3,2
11.3,10.48,8.37,4,4.59,5.8,5.36,6.8,7.33,4.43,4.49,5.1,3.97,4.87,4.65,5.72,5.7,5.16,6.24,7.16,6.82,7.74,12.58,15.01,14.92,33.27,32.13,31.47,30.5,29.41,26.72,24.04,21.9,21.03,20.05,19.88,19.75,19.48,18.1,16.79,15.29,14.53,13.25,11.84,11.66,12.25,12.86,13.69,14.84,15.65,30.63,29.78,29.01,28.16,26.83,23.79,21.13,18.56,17.73,16.93,17.15,16.6,16.27,14.39,13,11.15,9.74,8.51,7.53,7.11,7.43,7.69,8.05,8.51,9.06,0.9,0.91,0.9,0.91,0.9,0.89,0.88,0.87,0.87,0.87,0.89,0.87,0.87,0.85,0.85,0.83,0.81,0.81,0.82,0.82,0.81,0.79,0.78,0.76,0.75,28.96,29.37,31.47,30.5,29.41,26.72,24.04,21.9,21.03,20.05,19.88,19.75,19.48,18.1,16.79,15.29,14.53,13.25,11.84,6.19,12.25,7.3,5.35,5.79,5.94,995.81,993.2,991.49,988.79,988.61,989.3,989.5,990.11,1013,992.5,992.81,993.8,993.9,994.6,995.21,995.61,997.3,999,1000.1,1001.3,1002.5,1003.5,1004.39,1005.21,1005.79,4.58,3.07,2.9,1.19,1.78,2.24,2.24,2.83,1.61,2.4,1.81,1.42,1.36,1.6,1.87,1.95,2.63,2.63,2.87,3.06,2.97,3.19,5.18,6,6.84,3.998,3.886,3.886,3.998,3.247,1.552,3.347,9.997,5,1.19,4.441,5.678,3.777,3.676,8.273,5.622,7.002,5,2,8.035,2.342,2.342,1.75,4.725,6.231,0.066,0.033,0.035,0.038,0.036,0.009,0.01,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.82,0.85,0.62,0.36,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,2
3.32,2.3,2.08,1.49,1.01,1.96,1.55,1.69,1.78,1.35,0.55,0.46,0.31,0.35,1,1.08,1.14,2.12,3.1,1.32,1.77,1.78,2.45,2.83,3.63,32.97,32.79,32.31,31.69,31.02,30.47,29.82,29.5,29.22,29.04,28.63,28.5,28.39,28.36,28.35,28.27,28.24,28.19,28.27,28.83,29.95,31.01,31.69,31.95,31.67,31.21,31.08,30.58,29.9,29.31,28.52,27.86,27.38,26.92,26.24,25.96,25.91,25.88,25.74,25.51,25.38,25.3,25.19,24.95,25.54,26.63,26.94,27.5,27.46,27.6,0.93,0.93,0.93,0.93,0.93,0.92,0.92,0.92,0.91,0.89,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.88,0.87,0.87,0.87,0.85,0.84,0.83,0.85,32.97,32.79,32.31,31.69,31.02,30.47,29.82,29.5,29.22,29.04,28.63,28.5,28.39,28.36,28.35,28.27,28.24,28.19,28.27,28.83,29.95,31.01,31.69,31.95,31.67,1002.9,1002.7,1002.6,1002.3,1002.3,1001.9,1001.6,1001,1000.81,1001,1001,1000.9,1001,1001.1,1001.5,1001.6,1002.1,1002.5,1003,1003.7,1004.39,1004.5,1004.5,1004.7,1004.9,0.85,1.08,0.76,0.71,0.54,0.82,0.62,0.61,0.48,0.38,0.55,0.46,0.31,0.32,0.57,0.52,0.41,0.58,0.99,0.67,0.89,0.47,0.79,0.6,0.86,0.588,0.588,0.838,0.781,0.744,0.998,6.31,7.002,7.002,7.002,4.137,1.249,4.725,9.997,9.997,9.997,9.997,9.997,8.996,9.717,4.677,8.505,3.998,5,8.319,0.007,0.005,0.004,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.54,0.49,0.43,0.4,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,11,12,2
7.11,5.09,6.09,4.16,3.6,2.67,1.93,1.58,0.7,1.12,0.95,0.58,0.95,0.6,2.01,0.46,1.07,1.05,0.54,0.49,0.84,0.37,0.26,0.42,0.14,36.29,35.83,34.84,33.42,32.55,31.95,31.37,31.21,30.75,30.49,30.31,30.33,30.44,30.44,29.44,28.62,28.45,28.45,28.68,29.03,29.47,30.4,30.59,31.31,31.23,22.88,22.35,22.29,22,22.32,21.9,21.99,22.34,22.48,22.95,22.95,23.38,23.61,23.76,25.45,26.21,26.33,26.35,26.67,27.09,27.19,28.16,28.09,28.93,28.84,0.58,0.58,0.6,0.63,0.66,0.66,0.68,0.69,0.71,0.73,0.74,0.75,0.75,0.76,0.85,0.91,0.92,0.92,0.92,0.92,0.91,0.91,0.9,0.91,0.91,33.89,35.83,34.84,33.42,32.55,31.95,31.37,31.21,30.75,30.49,30.31,30.33,30.44,30.44,29.44,28.62,28.45,28.45,28.68,29.03,29.47,30.4,30.59,31.31,31.23,1026.39,1025.61,1026.59,1026.59,1026.79,1026.49,1026.29,1025.61,1025.08,1025.08,1024.28,1023.51,1023.6,1022.7,1021.49,1020.29,1019.89,1019.3,1019.3,1018.01,1017.89,1015.82,1014.9,1011.9,1012.01,3.22,2.1,2.51,1.6,1.08,0.52,0.58,0.31,0.36,0.19,0.14,0.1,0,0.05,0.39,0,0.08,0,0,0.22,0.47,0.15,0,0,0,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,1.441,0.97,0.937,1.06,0.912,0.846,0.998,1.329,0.998,1.286,1.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.006,0.002,0.001,0.002,0.001,0.003,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.11,0.12,0.12,0.1,0.11,0.1,0,0.1,0,16,1,2
8.05,8.72,8.2,9.99,9.07,4.94,3.42,3,3.49,4.37,6.22,8.14,2.93,3.2,2.92,2.84,2.61,6.4,4.58,4.53,5.77,7.04,9.61,9.79,10.71,43.98,43.75,43.05,40.99,39.54,38.62,37.96,37.43,36.98,36.69,36.72,36.39,33.73,32.7,32.69,33,33.48,34.3,34.51,34.92,35.74,37.61,39.71,40.45,40.66,28.6,28.21,28.21,27.59,27.28,27.08,27.38,27.31,27.78,27.24,26.99,27.36,29.45,30.41,30.6,30.75,31.24,31.62,32.28,32.49,33.18,34.6,35.97,36.83,36.87,0.54,0.54,0.56,0.59,0.61,0.63,0.65,0.67,0.69,0.68,0.68,0.69,0.84,0.91,0.92,0.91,0.91,0.9,0.91,0.91,0.9,0.89,0.86,0.87,0.86,42.83,42.02,40.96,38.84,37.42,38.62,37.96,37.43,36.98,36.69,36.72,36.39,33.73,32.7,32.69,33,33.48,34.3,34.51,34.92,35.74,37.61,37.62,38.59,40.66,1023.6,1022.79,1022.92,1022.4,1022.09,1022.22,1022.01,1020.91,1019.69,1018.42,1017.38,1016.6,1013,1015.99,1014.39,1012.91,1011.5,1009.91,1009.19,1007.9,1007.21,1005.69,1004,1003.2,1002.6,3.04,3.59,3.86,3.6,3.37,1.24,0.52,0.76,0.7,1.35,1.8,1.81,1,0.97,1.17,1.2,1.05,2.62,1.67,1.23,2.49,2.53,3.36,3.26,2.4,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,5,1.249,0.5,2,3.998,9.997,5,9.997,9.997,6.552,9.437,9.997,9.997,6.724,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.019,0.013,0.008,0.008,0.008,0.011,0.014,0.028,0.046,0.034,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.27,0.32,0.39,0.41,0.39,0.47,0.5,0.82,0.9,0.71,0.91,27,2,2
